"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VEURISK","VRISK_LEAD_BLACKLIST","AS_OF_DT","CHAR","10","0","0","","1","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","EDW_RECORD_NO","BIGINT","10","0","0","","2","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_NUM","DECIMAL","13","0","0","","3","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_NAME","VARCHAR","60","0","0","","4","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_REF_NUM","VARCHAR","12","0","0","","5","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_TYPE_CD","VARCHAR","2","0","0","","6","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_STYP_CD","VARCHAR","2","0","0","","7","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_DEGREE_VAL","VARCHAR","3","0","0","","8","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","BLACKLIST_DT","VARCHAR","10","0","0","","9","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","CARD_PNL_NUM","VARCHAR","20","0","0","","10","2023-02-16 19:21:19.756","Phase3"
"VEURISK","VRISK_LEAD_BLACKLIST","XREF_REFR_ID","DECIMAL","19","0","0","","11","2023-02-16 19:21:19.756","Phase3"
