"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VMTEDW","PLPS_BCKLST_DSG","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_NUMBE","DECIMAL","13","0","0","","2","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_NAME","VARCHAR","60","0","0","","3","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_REFNO","VARCHAR","12","0","0","","4","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_TYPE","VARCHAR","2","0","0","","5","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_STYP","VARCHAR","2","0","0","","6","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_DEGRE","VARCHAR","3","0","0","","7","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","BL_DATE","VARCHAR","10","0","0","","8","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","CARDPNL","VARCHAR","13","0","0","","9","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","START_DT","DATE","0","0","0","","10","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","END_DT","DATE","0","0","0","","11","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","RECORD_DELETED_FLAG","BYTEINT","0","0","0","","12","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","CTL_ID","CHAR","3","0","0","","13","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","INS_PROC_NAME","CHAR","35","0","0","","14","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","INS_TXF_BATCH_ID","INTEGER","0","0","0","","15","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","UPD_PROC_NAME","CHAR","35","0","0","","16","2023-02-16 19:23:27.359","S90574"
"VMTEDW","PLPS_BCKLST_DSG","UPD_TXF_BATCH_ID","INTEGER","0","0","0","","17","2023-02-16 19:23:27.359","S90574"
