"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","ANYID_WALLETFTLOG_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","ID","bigint","0","0","0","","2","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","CREATEDDATE","timestamp","0","0","0","","3","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","ANY_CREATEDDATE","date","0","0","0","","4","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","TRANSACTIONTYPE","varchar","4","0","0","","5","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","RQUID","varchar","47","0","0","","6","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","RQDT","timestamp","0","0","0","","7","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","RQAPPID","varchar","10","0","0","","8","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","SENDEREWALLETID","varchar","15","0","0","","9","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","TOPROXYTYPE","varchar","30","0","0","","10","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","TOPROXYVALUE","varchar","100","0","0","","11","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","TRANDT","timestamp","0","0","0","","12","2023-02-16 19:25:25.676","montarat"
"VSGEDW","ANYID_WALLETFTLOG_1_0","TERMINALNO","varchar","16","0","0","","13","2023-02-16 19:25:25.676","montarat"
