"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","PROCESS_DATE","DATE","0","0","0","","2","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANSACTION_DATE","DATE","0","0","1","","3","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANSACTION_TIME","TIME","15","0","1","","4","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANSACTION_TYPE","VARCHAR","35","0","1","","5","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANSACTION_CODE","CHAR","5","0","1","","6","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","SOURCE_SYSTEM","CHAR","4","0","1","","7","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","ORIGINAL_SYSTEM","VARCHAR","20","0","1","","8","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","ACC_NO","VARCHAR","34","0","0","","9","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","ACC_NAME","VARCHAR","140","0","0","","10","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","CUST_REF_ID","VARCHAR","17","0","1","","11","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","CURRENCY_ID","CHAR","3","0","1","","12","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","COUNTRY_CODE","CHAR","2","0","1","","13","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANS_AMOUNT","DECIMAL","21","6","1","","14","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANS_CCY","CHAR","3","0","1","","15","2023-02-16 19:27:13.857","S90484"
"VSGEDW","CAPI_QR_CROSS_BORDER_1_0","TRANS_EX_RATE","DECIMAL","21","6","0","","16","2023-02-16 19:27:13.857","S90484"
