"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","ESN_ONLINEREDEEM_1_0","EDW_RECORD_NO","BIGINT","10","0","0","","1","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","TxnDateTime","TIMESTAMP","19","0","0","","2","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","IPAddress","VARCHAR","32","0","0","","3","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","ENetLoginId","VARCHAR","12","0","0","","4","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","TxnType","VARCHAR","100","0","0","","5","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","AccountNo","VARCHAR","250","0","0","","6","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","RqUId","VARCHAR","250","0","0","","7","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","Ref","VARCHAR","13","0","0","","8","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","RewardCode","VARCHAR","5","0","0","","9","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","Quantity","INTEGER","10","0","0","","10","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","ChargeIndicator","CHAR","1","0","0","","11","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","OrderNumber","VARCHAR","100","0","0","","12","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","StatusCode","VARCHAR","5","0","0","","13","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","StatusDescription","VARCHAR","100","0","0","","14","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","START_DT","DATE","10","0","0","","15","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","END_DT","DATE","10","0","0","","16","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","RECORD_DELETED_FLAG","BYTEINT","3","0","0","","17","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","CTL_ID","CHAR","3","0","0","","18","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","INS_PROC_NAME","CHAR","35","0","0","","19","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","INS_TXF_BATCHID","INTEGER","10","0","0","","20","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","UPD_PROC_NAME","CHAR","35","0","0","","21","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","UPD_TXF_BATCHID","INTEGER","10","0","0","","22","2023-02-16 19:33:26.107","Phase1"
"VSGEDW","ESN_ONLINEREDEEM_1_0","TxnDate","DATE","10","0","0","","23","2023-02-16 19:33:26.107","Phase1"
