"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","EDW_RECORD_NO","BIGINT","10","0","0","","1","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","USERID","VARCHAR","15","0","0","","2","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","MERCHANT_TRANS_ID","VARCHAR","20","0","0","","3","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","APPROVAL_CODE","VARCHAR","10","0","0","","4","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","REFUND_DATE","DATE","10","0","0","","5","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","REFUND_TIME","TIME","15","0","0","","6","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","REFUND_AMOUNT","DECIMAL","15","2","0","","7","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","RES_CODE","VARCHAR","4","0","0","","8","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","RES_MSG","VARCHAR","255","0","0","","9","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","START_DT","DATE","10","0","0","","10","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","END_DT","DATE","10","0","0","","11","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","RECORD_DELETED_FLAG","BYTEINT","3","0","0","","12","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","CTL_ID","CHAR","3","0","0","","13","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","INS_PROC_NAME","CHAR","35","0","0","","14","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","INS_TXF_BATCHID","INTEGER","10","0","0","","15","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","UPD_PROC_NAME","CHAR","35","0","0","","16","2023-02-16 19:34:30.034","Phase2"
"VSGEDW","ESN_UP2ME_MOB_REFUND_1_0","UPD_TXF_BATCHID","INTEGER","10","0","0","","17","2023-02-16 19:34:30.034","Phase2"
