"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","IM_IMPOST_2_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_CTL1","char","2","0","0","","2","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_CTL2","char","3","0","0","","3","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_CTL3","char","3","0","0","","4","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_CTL4","char","4","0","0","","5","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_ACCT","varchar","10","0","0","","6","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_REC_SEQ","varchar","7","0","0","","7","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_TRAN_CODE","char","2","0","0","","8","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SUB_CLASS","char","2","0","0","","9","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_NO_AMT","varchar","17","0","0","","10","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_REJ_PROG","char","2","0","0","","11","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_REJ_RESN","char","2","0","0","","12","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SOURCE","char","2","0","0","","13","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_BATCH","char","5","0","0","","14","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SEQ","char","5","0","0","","15","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_TRACE","varchar","7","0","0","","16","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_INFO_FLAG","char","1","0","0","","17","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_EMP_ID","varchar","8","0","0","","18","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_TELLER_ID","varchar","8","0","0","","19","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_TERM_ID","char","4","0","0","","20","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_DATE","varchar","8","0","0","","21","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_TIME","varchar","7","0","0","","22","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_ORIGIN","char","2","0","0","","23","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_SRC_BRANCH","char","4","0","0","","24","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_AMOUNT","varchar","17","0","0","","25","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_USER_CODE","char","4","0","0","","26","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_TRAN_TYPE","char","1","0","0","","27","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_OPTION_1","char","1","0","0","","28","2023-02-16 19:39:45.121","montarat"
"VSGEDW","IM_IMPOST_2_0","TR_OPTION_2","char","1","0","0","","29","2023-02-16 19:39:45.121","montarat"
