"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","INS_COMMISSION3_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","APP_ID","char","8","0","0","","2","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","CERT_NUM","char","30","0","0","","3","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","CERT_YEAR","char","4","0","0","","4","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","INS_ACCT_ID","char","26","0","0","","5","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","RUNNING_NUMBER","char","25","0","0","","6","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","PREMIUM_COMM","decimal","17","2","0","","7","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","PREMIUM_LOADING_SHORTAGE","decimal","17","2","0","","8","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","COMMISSION_AMT","decimal","17","2","0","","9","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","COMMISSION_OV_AMT","decimal","17","2","0","","10","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","CLAWBACK","char","10","0","0","","11","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","TRANSACTION_TYPE","char","1","0","0","","12","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","BUSINESS_DATE","date","0","0","0","","13","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","COMMISSION_YEAR","char","4","0","0","","14","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","COMMISSION_MONTH","char","2","0","0","","15","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","COMMISSION_TIMES","char","2","0","0","","16","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","START_DT","date","0","0","0","","17","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","END_DT","date","0","0","0","","18","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","RECORD_DELETED_FLAG","smallint","0","0","0","","19","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","CTL_ID","char","3","0","0","","20","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","INS_PROC_NAME","char","35","0","0","","21","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","INS_TXF_BATCHID","int","0","0","0","","22","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","UPD_PROC_NAME","char","35","0","0","","23","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","UPD_TXF_BATCHID","int","0","0","0","","24","2023-02-16 19:40:11.282","montarat"
"VSGEDW","INS_COMMISSION3_1_0","BK_AGREEMENT_115_001","varchar","100","0","0","","25","2023-02-16 19:40:11.282","montarat"
