"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","IX_CHGEVENT_1_0","EDW_RECORD_NO","BIGINT","10","0","0","","1","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","ENTITY","CHAR","3","0","0","","2","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DEAL_NO","CHAR","14","0","0","","3","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CHARGE_SERIAL_NO","INTEGER","10","0","0","","4","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","STEP_TYPE","CHAR","3","0","0","","5","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","STEP_NO","CHAR","3","0","0","","6","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CHARGE_ID","CHAR","6","0","0","","7","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CREDIT_PARTY","CHAR","3","0","0","","8","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DEBIT_PARTY","CHAR","3","0","0","","9","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CHARGE_CURR","CHAR","3","0","0","","10","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CHARGE_AMT","DECIMAL","15","2","0","","11","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CHARGE_WHEN","CHAR","1","0","0","","12","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","SETTLED_AT_TYPE","CHAR","3","0","0","","13","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","SETTLED_AT_NO","CHAR","3","0","0","","14","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CR_CALC_CURR","CHAR","3","0","0","","15","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CR_ACTUAL_RATE","DECIMAL","11","7","0","","16","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CR_CHARGE_AMT","DECIMAL","15","2","0","","17","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_CALC_CURR","CHAR","3","0","0","","18","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_ACTUAL_RATE","DECIMAL","11","7","0","","19","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_CHARGE_AMT","DECIMAL","15","2","0","","20","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","THEORETICAL_COMM","DECIMAL","9","2","0","","21","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","THEORETICAL_CURR","CHAR","3","0","0","","22","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","COMM_PERIOD","INTEGER","10","0","0","","23","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","COMM_TYPE","CHAR","1","0","0","","24","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","LIMIT_CATEGORY","CHAR","10","0","0","","25","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","LIMIT_SG_CATEGORY","CHAR","10","0","0","","26","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","LIMIT_OWNER_ID","CHAR","3","0","0","","27","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","LIMIT_SG_OWNER_TYP","CHAR","3","0","0","","28","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","LIMIT_ID_TYPE","CHAR","3","0","0","","29","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","LIMIT_USANCE_CAT","CHAR","4","0","0","","30","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","FIN_NO","CHAR","3","0","0","","31","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","FIN_VALUE_DATE","DATE","10","0","0","","32","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","MARGIN_NO","CHAR","2","0","0","","33","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","ARM_USER_DEPT","CHAR","5","0","0","","34","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","ARM_USER_ID","CHAR","8","0","0","","35","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_LOC_AMT","DECIMAL","15","2","0","","36","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CR_LOC_AMT","DECIMAL","15","2","0","","37","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_LOC_EXCH_RATE","DECIMAL","11","7","0","","38","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CR_LOC_EXCH_RATE","DECIMAL","11","7","0","","39","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_LOC_RATE_CODE","CHAR","1","0","0","","40","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","CR_LOC_RATE_CODE","CHAR","1","0","0","","41","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","DR_CR_LOC_DIFR","DECIMAL","15","2","0","","42","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","COMM_START_DATE","DATE","10","0","0","","43","2023-02-16 19:41:59.309","Phase2"
"VSGEDW","IX_CHGEVENT_1_0","COMM_END_DATE","DATE","10","0","0","","44","2023-02-16 19:41:59.309","Phase2"
