"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","LEGO_TRANS_1_0","EDW_RECORD_NO","BIGINT","0","0","1","","1","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","SCB_TXN_DT_ID","VARCHAR","11","0","1","","2","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","MERCHANT_ID","VARCHAR","36","0","0","","3","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CUSTOMER_ID","VARCHAR","20","0","0","","4","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","SERVICE_ID","CHAR","2","0","0","","5","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","TRANS_AMOUNT","DECIMAL","17","6","0","","6","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CURRENCY","CHAR","3","0","0","","7","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","ORDER_NUMBER","VARCHAR","20","0","0","","8","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","ORDER_DATETIME","TIMESTAMP","26","0","0","","9","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","TXN_NUMBER","VARCHAR","20","0","0","","10","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","TXN_STATUS_CODE","CHAR","4","0","0","","11","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CREATED_DATETIME","TIMESTAMP","26","0","0","","12","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","UPDATED_DATETIME","TIMESTAMP","26","0","0","","13","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CARD_NUMBER","VARCHAR","19","0","0","","14","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CARD_TOKEN","VARCHAR","100","0","0","","15","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CARD_TYPE","CHAR","10","0","0","","16","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA1","VARCHAR","20","0","0","","17","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA2","VARCHAR","20","0","0","","18","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA3","VARCHAR","20","0","0","","19","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA4","VARCHAR","20","0","0","","20","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA5","VARCHAR","20","0","0","","21","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA6","VARCHAR","20","0","0","","22","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA7","VARCHAR","20","0","0","","23","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA8","VARCHAR","20","0","0","","24","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA9","VARCHAR","20","0","0","","25","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","USER_DATA10","VARCHAR","20","0","0","","26","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","AUTO_SETTLEMENT","CHAR","2","0","0","","27","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","RETURN_URL","VARCHAR","255","0","0","","28","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CHANEL_TYPE","VARCHAR","15","0","0","","29","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","PAYMENT_TYPE","CHAR","1","0","0","","30","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","IS3D_SECURE","CHAR","3","0","0","","31","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CAVV","VARCHAR","100","0","0","","32","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","ECI","CHAR","3","0","0","","33","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","UCAF","VARCHAR","32","0","0","","34","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","XID","VARCHAR","20","0","0","","35","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","APPR_CODE","CHAR","6","0","0","","36","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","HOST_RESPONSE_CODE","CHAR","3","0","0","","37","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","UPDATE_DT","DATE","10","0","0","","38","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","START_DT","DATE","10","0","0","","39","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","END_DT","DATE","10","0","0","","40","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","RECORD_DELETED_FLAG","BYTEINT","0","0","0","","41","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","CTL_ID","CHAR","3","0","0","","42","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","INS_PROC_NAME","CHAR","35","0","0","","43","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","INS_TXF_BATCHID","INTEGER","0","0","0","","44","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","UPD_PROC_NAME","CHAR","35","0","0","","45","2023-02-16 19:42:42.514","NEX_KRISSANA"
"VSGEDW","LEGO_TRANS_1_0","UPD_TXF_BATCHID","INTEGER","0","0","0","","46","2023-02-16 19:42:42.514","NEX_KRISSANA"
