"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","PMH_SYSTEM_DT","DATE","0","0","1","","2","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","PMH_SYSTEM_TM","TIMESTAMP","26","0","1","","3","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","EVENT_GROUP","VARCHAR","100","0","0","","4","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","EVENT_NAME_REQUEST","VARCHAR","100","0","0","","5","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","REQUEST_ID","VARCHAR","36","0","0","","6","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","ORIGINAL_RQUID","VARCHAR","36","0","0","","7","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","TERMINAL_TYPE","VARCHAR","4","0","0","","8","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","REQUEST_DT","DATE","0","0","0","","9","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","REQUEST_TM","TIMESTAMP","26","0","0","","10","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","RESPONSE_STATUS","VARCHAR","100","0","0","","11","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","RESPONSE_CD","VARCHAR","10","0","1","","12","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","RESPONSE_DESC","VARCHAR","256","0","0","","13","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","STATUS","VARCHAR","30","0","1","","14","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","EXPIRE_DTTM","TIMESTAMP","19","0","0","","15","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","TXN_E2E_ID","VARCHAR","35","0","1","","16","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","REQUEST_FR_CHANNEL","VARCHAR","20","0","0","","17","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","GN_CHANNEL_CD","VARCHAR","6","0","0","","18","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","ITMX_CHANNEL_CD","VARCHAR","6","0","0","","19","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","REQUEST_AMT","DECIMAL","38","2","0","","20","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","PAY_AMT","DECIMAL","38","2","0","","21","2023-02-16 19:46:00.945","INT_NUTCHANON"
"VSGEDW","PMH_PAYMENT_TXNLOGS_1_0","ADDITIONAL_NOTE","VARCHAR","256","0","0","","22","2023-02-16 19:46:00.945","INT_NUTCHANON"
