"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","SEQUENCE_NO","CHAR","10","0","0","","2","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","WALLET_ID","VARCHAR","15","0","0","","3","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","WALLET_OWNER_NAME","VARCHAR","100","0","0","","4","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","TXN_ID","VARCHAR","50","0","1","","5","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","TRANSACTION_TYPE","VARCHAR","50","0","0","","6","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","PAYMENT_TYPE","VARCHAR","50","0","0","","7","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","PAYMENT_BY","VARCHAR","50","0","0","","8","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","PAYMENT_SOF","VARCHAR","50","0","0","","9","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","CARD_NO","VARCHAR","50","0","0","","10","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","AUTH_C","VARCHAR","50","0","0","","11","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","CARD_TXN_REF","VARCHAR","50","0","0","","12","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","FROM_VAL","VARCHAR","50","0","0","","13","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","TO_VAL","VARCHAR","20","0","0","","14","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","CHANNEL_FROM","VARCHAR","50","0","0","","15","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","CHANNEL_TO","VARCHAR","50","0","0","","16","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","TXN_DATE","DATE","10","0","0","","17","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","TXN_TIME","TIME","8","0","0","","18","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","SETTLEMENT_DATE","DATE","10","0","0","","19","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","AMT_THB","VARCHAR","24","0","0","","20","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","STATUS","VARCHAR","50","0","0","","21","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","START_DT","DATE","0","0","0","","22","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","END_DT","DATE","0","0","0","","23","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","RECORD_DELETED_FLAG","BYTEINT","0","0","0","","24","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","CTL_ID","CHAR","3","0","0","","25","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","INS_PROC_NAME","CHAR","35","0","0","","26","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","INS_TXF_BATCHID","INTEGER","0","0","0","","27","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","UPD_PROC_NAME","CHAR","35","0","0","","28","2023-02-16 20:04:05.327","INT_TALILTIP"
"VSGEDW","SWALL_FDPD_WALLET_TRX_1_0","UPD_TXF_BATCHID","INTEGER","0","0","0","","29","2023-02-16 20:04:05.327","INT_TALILTIP"
