"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","EDW_RECORD_NO","BIGINT","10","0","0","","1","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","SEQUENCE_NO","CHAR","10","0","0","","2","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","MERCHANT_ID","VARCHAR","20","0","1","","3","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","MERCHANT_NAME","VARCHAR","100","0","0","","4","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","TID","VARCHAR","20","0","1","","5","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","TID_NAME","VARCHAR","100","0","0","","6","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","TXN_DATE","DATE","10","0","0","","7","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","TXN_TIME","TIME","8","0","0","","8","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","SETTLEMENT_DATE","DATE","10","0","0","","9","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","WALLET_TYPE","VARCHAR","50","0","0","","10","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","CHANNEL","VARCHAR","20","0","0","","11","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","PAYER_ID","VARCHAR","50","0","0","","12","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","SOF","VARCHAR","50","0","0","","13","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","REF_1","VARCHAR","20","0","0","","14","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","REF_2","VARCHAR","20","0","0","","15","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","TXN_ID","VARCHAR","50","0","0","","16","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","AMT_THB","VARCHAR","24","0","0","","17","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","MDR_PERCENT","VARCHAR","14","0","0","","18","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","MDR_AMT","VARCHAR","24","0","0","","19","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","VAT_AMT","VARCHAR","24","0","0","","20","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","WHT_AMT","VARCHAR","24","0","0","","21","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","CREDIT_AMT","VARCHAR","24","0","0","","22","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","START_DT","DATE","0","0","0","","23","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","END_DT","DATE","0","0","0","","24","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","RECORD_DELETED_FLAG","BYTEINT","0","0","0","","25","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","CTL_ID","CHAR","3","0","0","","26","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","INS_PROC_NAME","CHAR","35","0","0","","27","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","INS_TXF_BATCHID","INTEGER","0","0","0","","28","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","UPD_PROC_NAME","CHAR","35","0","0","","29","2023-02-16 20:04:09.488","INT_TALILTIP"
"VSGEDW","SWALL_TYTW_MERCHANT_TRX_1_0","UPD_TXF_BATCHID","INTEGER","0","0","0","","30","2023-02-16 20:04:09.488","INT_TALILTIP"
