"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGMF","ATS_REPORT_FILE_1_0","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_IDENT","char","2","0","0","","2","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_BRANCH","char","4","0","0","","3","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_ACCT","char","11","0","0","","4","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_DATE","date","0","0","0","","5","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TIME","char","6","0","0","","6","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_ACCTYPE","char","1","0","0","","7","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_SUBTYPE","char","1","0","0","","8","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_DEPTERM","char","2","0","0","","9","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_CUSTYPE","char","3","0","0","","10","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_BTYPE","char","2","0","0","","11","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_STATUS","char","2","0","0","","12","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TRCODE","char","2","0","0","","13","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_NUMBER","char","15","0","0","","14","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_AMT","decimal","17","2","0","","15","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_ORIGINAMT","decimal","17","2","0","","16","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_BKDATE","date","0","0","0","","17","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_DLT","date","0","0","0","","18","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_HOLDCODE","char","2","0","0","","19","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_REASON","char","2","0","0","","20","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_BANKCODE","char","4","0","0","","21","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TRANCODE","char","4","0","0","","22","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TERMNO","char","4","0","0","","23","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TELLERNO","char","2","0","0","","24","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TRANNUM","char","6","0","0","","25","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_COMPCODE","char","6","0","0","","26","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_TRANSTATUS","char","1","0","0","","27","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_CKDIGIT","char","1","0","0","","28","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_OLDBAL","decimal","17","2","0","","29","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_NEWBAL","decimal","17","2","0","","30","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_ODLIMIT","decimal","17","2","0","","31","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_AMTHOLD","decimal","17","2","0","","32","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_ENC","decimal","17","2","0","","33","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_UPDSTATUS","char","4","0","0","","34","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_NAME","char","30","0","0","","35","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_DEBITCOND","char","1","0","0","","36","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_MINBALANCE","decimal","9","2","0","","37","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RP_CHARGEAMT","decimal","17","2","0","","38","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","REFERENCE","char","16","0","0","","39","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","START_DT","date","0","0","0","","40","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","END_DT","date","0","0","0","","41","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","RECORD_DELETED_FLAG","smallint","0","0","0","","42","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","CTL_ID","char","3","0","0","","43","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","INS_PROC_NAME","char","30","0","0","","44","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","INS_TXF_BATCHID","int","0","0","0","","45","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","UPD_PROC_NAME","char","30","0","0","","46","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","UPD_TXF_BATCHID","int","0","0","0","","47","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","TMP_RP_BKDATE","date","0","0","0","","48","2023-02-16 20:06:28.335","montarat"
"VSGMF","ATS_REPORT_FILE_1_0","TRANSACTION_DATE","date","0","0","0","","49","2023-02-16 20:06:28.335","montarat"
