"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VIVR_IVRTRANSBBG10_01","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","IVR_PORT_NUMBER","string","0","0","0","","2","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","TRANSACTION_DATE","date","0","0","0","","3","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","TRANSACTION_TIME","timestamp","0","0","0","","4","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","IVR_SERVER_NUMBER","string","0","0","0","","5","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","CALLER_NUMBER","string","0","0","0","","6","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","HOST_TRANS_CODE","string","0","0","0","","7","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","IVR_MENU","string","0","0","0","","8","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","AUTHENTICATION_SYSTEM","string","0","0","0","","9","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","AUTHENTICATION_BY","string","0","0","0","","10","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","ACCOUNT_FROM_NUMBER","string","0","0","0","","11","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","ACCOUNT_TO_NUMBER","string","0","0","0","","12","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","MESSAGE_CODE","string","0","0","0","","13","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","TRANSACTION_AMOUNT","string","0","0","0","","14","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","AMOUNT_FEE","string","0","0","0","","15","2023-02-16 20:29:08.767","montarat"
"VTXEDW","VIVR_IVRTRANSBBG10_01","REFERENCE_NO","string","0","0","0","","16","2023-02-16 20:29:08.767","montarat"
