"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","TXN_DATE","date","0","0","0","","2","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","EVENT_CODE","char","10","0","0","","3","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","SUB_EVENT_CODE","char","10","0","0","","4","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ACCESS_ID","varchar","30","0","0","","5","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","POINTX_TIMESTAMP","string","0","0","0","","6","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","CHANNEL","char","10","0","0","","7","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ORIGINAL_RQ_UID","varchar","100","0","0","","8","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","RESPONSE_CODE","char","4","0","0","","9","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","RESPONSE_DESC","varchar","100","0","0","","10","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","FAILED_DESC","varchar","100","0","0","","11","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","POINTX_ID","varchar","16","0","0","","12","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","CUSTOMER_TYPE","varchar","30","0","0","","13","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","SIGNIN_BY","varchar","30","0","0","","14","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","CARD_TYPE","char","2","0","0","","15","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","CARD_ID","varchar","20","0","0","","16","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MOBILE_NO","char","10","0","0","","17","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","COUNTRY_CODE","char","3","0","0","","18","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","NICKNAME","varchar","30","0","0","","19","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","DATE_OF_BIRTH","date","0","0","0","","20","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","TNC_VERSION","varchar","20","0","0","","21","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","DRIVER_ID","varchar","255","0","0","","22","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","DRIVER_NAME","varchar","255","0","0","","23","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","DRIVER_PHONE","decimal","15","0","0","","24","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","LIST_OF_MY_LIFESTYLE","varchar","255","0","0","","25","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PERMISSION_ALLOW_FACE_ID","char","1","0","0","","26","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PERMISSION_ALLOW_TOUCH_ID","char","1","0","0","","27","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PERMISSION_ALLOW_LOCATION","varchar","30","0","0","","28","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PERMISSION_ALLOW_NOTIFICATION","char","1","0","0","","29","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","DEVICE_ID","varchar","100","0","0","","30","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","BRAND","varchar","100","0","0","","31","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MODEL","varchar","100","0","0","","32","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","OS","varchar","100","0","0","","33","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","APP_VERSION","varchar","100","0","0","","34","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","LOGIN_TYPE","varchar","50","0","0","","35","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","SECURED_MOBILE_NO","char","10","0","0","","36","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","USER_LAT","varchar","20","0","0","","37","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","USER_LONG","varchar","21","0","0","","38","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","IP","varchar","20","0","0","","39","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","REASON","varchar","255","0","0","","40","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","RMID","varchar","14","0","0","","41","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","UPDATED_BY","char","10","0","0","","42","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","CUSTOMER_LANGUAGE","char","2","0","0","","43","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","CORRELATION_ID","varchar","100","0","0","","44","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","REF_ID","varchar","45","0","0","","45","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","POINTX_GROUP","varchar","31","0","0","","46","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","POINTX_GROUP_NAME","varchar","255","0","0","","47","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","REF_ID2","varchar","45","0","0","","48","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_CODE","varchar","20","0","0","","49","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_NAME","varchar","255","0","0","","50","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_RETAIL_PRICE","decimal","13","2","0","","51","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_VENDOR_PRICE","decimal","13","2","0","","52","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_BASE_RATE","decimal","13","2","0","","53","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_ORIGINAL_POINT","decimal","15","2","0","","54","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_EVENT_RATE","decimal","13","2","0","","55","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_DYNAMIC_RATE","decimal","13","2","0","","56","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_POINTS","varchar","15","0","0","","57","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_DISCOUNT","decimal","6","2","0","","58","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","ITEM_QUANTITY","decimal","15","0","0","","59","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PAYMENT_METHOD","varchar","30","0","0","","60","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","TOTAL_POINTS","decimal","15","0","0","","61","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","TOTAL_MONEY","decimal","8","2","0","","62","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","TOTAL_VENDOR_PRICE","decimal","13","2","0","","63","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","POINTX_BALANCE","decimal","15","0","0","","64","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MEMBERSHIP_ID","varchar","20","0","0","","65","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","LASTNAME","varchar","100","0","0","","66","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","FULLNAME","varchar","100","0","0","","67","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PRODUCT_TYPE","varchar","50","0","0","","68","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","EVENT_TYPE","varchar","50","0","0","","69","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","EVENT_ID","varchar","18","0","0","","70","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","EVENT_NAME","varchar","255","0","0","","71","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","RELEASE_RATE","decimal","6","2","0","","72","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","VALID_UNTIL_DATE","char","10","0","0","","73","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","SUBSIDY_FLAG","varchar","1","0","0","","74","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","PRODUCT_CATEGORY","varchar","100","0","0","","75","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MERCHANT_TYPE","varchar","50","0","0","","76","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MERCHANT_GROUP_TYPE","varchar","50","0","0","","77","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MERCHANT_ID","varchar","18","0","0","","78","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","MERCHANT_NAME","varchar","255","0","0","","79","2023-02-16 20:30:04.648","montarat"
"VTXEDW","VPOINTX_EVENT_LOG_TRANS_01","SHOP_ID","varchar","18","0","0","","80","2023-02-16 20:30:04.648","montarat"
