"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DPYBIT","BI_EQU_INVDIRECT","AS_OF_DT","date","0","0","0","","1","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INVOL_PARTYID_COMDI","varchar","20","0","0","","2","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SEQ_NO","int","0","0","0","","3","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","COMPANY_ABBREVIATION","varchar","20","0","0","","4","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","COMPANY_NAME","varchar","200","0","0","","5","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SECURITIES_NAME","varchar","200","0","0","","6","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","CLASS_INVESTMENT_CD","varchar","20","0","0","","7","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","UNIQUE_ID_TYPE_CD","varchar","20","0","0","","8","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INVOLVED_PARTY_ID","varchar","20","0","0","","9","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INVOLVED_PARTY_TYPE","varchar","20","0","0","","10","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","OTHER_ID","varchar","20","0","0","","11","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","REGIS_DATE","date","0","0","0","","12","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","NATIONALTY","varchar","10","0","0","","13","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","CNTRY_RESI","varchar","10","0","0","","14","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","ISIC_BOT_CODE","varchar","20","0","0","","15","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SWIFT_CODE","varchar","20","0","0","","16","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","LISTED_COMPANY_TYPE_EN","varchar","100","0","0","","17","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","REGISTERED_SHARE","decimal","38","2","0","","18","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","PAR_VALUE_PER_SHARE","decimal","38","2","0","","19","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","PAIDUP_CAPITAL","decimal","38","2","0","","20","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","PAIDUP_PAR_VALUE","decimal","38","2","0","","21","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","NO_OF_PAIDUP_SHARE","decimal","38","2","0","","22","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SHARE_TYPE","varchar","20","0","0","","23","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","UNPAID_INVESTMENT","decimal","38","2","0","","24","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","NO_OF_SHARE_SCB","decimal","38","2","0","","25","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SCB_ORG_INV_COST","decimal","38","2","0","","26","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SCB_IMPAIRMENT","decimal","38","2","0","","27","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","SCB_MARKET_VALUE","decimal","38","2","0","","28","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INV_DISCLOSED_SCB_FS","decimal","38","2","0","","29","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","ACCOUNTING_STANDARD_MEASURE","varchar","100","0","0","","30","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INVESTMENT_TYPE_TH","varchar","100","0","0","","31","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","START_DT","date","0","0","0","","32","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","END_DT","date","0","0","0","","33","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","RECORD_DELETED_FLAG","smallint","0","0","0","","34","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","CTL_ID","char","3","0","0","","35","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INS_PROC_NAME","char","35","0","0","","36","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","INS_TXF_BATCH_ID","int","0","0","0","","37","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","UPD_PROC_NAME","char","35","0","0","","38","2023-03-08 01:00:31.675","Common_Team"
"DPYBIT","BI_EQU_INVDIRECT","UPD_TXF_BATCH_ID","int","0","0","0","","39","2023-03-08 01:00:31.675","Common_Team"
