"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","INVOLVED_PARTY_ID","varchar","20","0","0","","1","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","COMPANY_ABBREVIATION","varchar","20","0","0","","2","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","CLASS_OF_INV_CD","varchar","20","0","0","","3","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","START_DT","date","0","0","0","","4","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","END_DT","date","0","0","0","","5","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","RECORD_DELETED_FLAG","smallint","0","0","0","","6","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","CTL_ID","char","3","0","0","","7","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","INS_PROC_NAME","char","35","0","0","","8","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","INS_TXF_BATCH_ID","int","0","0","0","","9","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","UPD_PROC_NAME","char","35","0","0","","10","2023-03-08 01:19:11.265","montarat"
"DPYBIT","BI_EQU_PRM_CLOFINVCOM","UPD_TXF_BATCH_ID","int","0","0","0","","11","2023-03-08 01:19:11.265","montarat"
