"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DPYBIT","BI_PARAM_CC_TRANS","Channel","varchar","30","0","1","''","1","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","User_Tran_Cd","varchar","10","0","1","''","2","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Batch_No","varchar","10","0","1","''","3","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Start_Dt","date","0","0","0","","4","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","End_Dt","date","0","0","0","","5","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Record_Deleted_Flag","smallint","0","0","0","","6","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Ctl_Id","char","10","0","0","","7","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Ins_Proc_Name","char","35","0","0","","8","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Ins_Txf_Batch_Id","int","0","0","0","","9","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Upd_Proc_Name","char","35","0","0","","10","2023-03-08 00:57:56.715","Common_Team"
"DPYBIT","BI_PARAM_CC_TRANS","Upd_Txf_Batch_Id","int","0","0","0","","11","2023-03-08 00:57:56.715","Common_Team"
