"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DPYCSM","CSM_PARAM_SCB_DEBT","PDT_TYPE","varchar","4","0","0","","1","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","SUB_PDT_TYPE","varchar","10","0","0","","2","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","START_DT","date","0","0","0","","3","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","END_DT","date","0","0","0","","4","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","RECORD_DELETED_FLAG","smallint","0","0","0","","5","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","CTL_ID","char","3","0","0","","6","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","INS_PROC_NAME","char","35","0","0","","7","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","INS_TXF_BATCH_ID","int","0","0","0","","8","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","UPD_PROC_NAME","char","35","0","0","","9","2023-03-08 01:25:15.556","Common_Team"
"DPYCSM","CSM_PARAM_SCB_DEBT","UPD_TXF_BATCH_ID","int","0","0","0","","10","2023-03-08 01:25:15.556","Common_Team"
