"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","AS_OF_DT","date","0","0","0","","1","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","ACCOUNT_NUM","varchar","100","0","0","","2","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","ACCOUNT_MODIFIER_NUM","varchar","20","0","0","","3","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","STOP_CAL_GROUP","char","10","0","0","","4","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","BASE_ACCOUNT_NUMBER","varchar","100","0","0","","5","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","AGMT_LEVEL_CD","smallint","0","0","0","","6","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","STOP_CAL_DT","date","0","0","0","","7","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","ORG_STOP_CAL_BAL_AMT","decimal","18","2","0","","8","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","ORG_STOP_CAL_INT1_AMT","decimal","18","2","0","","9","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","B_STOP_CAL_INT1_AMT","decimal","18","2","0","","10","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","F_STOP_CAL_INT1_AMT","decimal","18","2","0","","11","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","B_PAID_AMT","decimal","18","2","0","","12","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","F_PAID_AMT","decimal","18","2","0","","13","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","MTD_PAID_AMT","decimal","18","2","0","","14","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","YTD_PAID_AMT","decimal","18","2","0","","15","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","CHARGE_OFF_IND","char","1","0","0","","16","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","CHARGE_OFF_AMT","decimal","18","2","0","","17","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","LQD_AMT","decimal","18","2","0","","18","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","LQD_ACCOUNT","varchar","100","0","0","","19","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","STOP_CAL_INT1_LASTYEAR_AMT","decimal","18","2","0","","20","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","LQD_START_DT","date","0","0","0","","21","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","START_DT","date","0","0","0","","22","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","END_DT","date","0","0","0","","23","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","RECORD_DELETED_FLAG","smallint","0","0","0","","24","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","CTL_ID","char","3","0","0","","25","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","INS_PROC_NAME","char","35","0","0","","26","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","INS_TXF_BATCHID","int","0","0","0","","27","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","UPD_PROC_NAME","char","35","0","0","","28","2023-03-08 04:23:04.198","Common_Team"
"DSGEDW","BI_LQD_ACCOUNT_PAYMENT_1_0","UPD_TXF_BATCHID","int","0","0","0","","29","2023-03-08 04:23:04.198","Common_Team"
