"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTPCSM","TCSM_AUM_PRIME","RM_ID","char","30","0","1","","1","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","AUM_CURRENT","decimal","16","2","0","","2","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","AUM_AVG_1M","decimal","16","2","0","","3","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","AUM_AVG_6M","decimal","16","2","0","","4","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","START_DT","date","0","0","0","","5","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","END_DT","date","0","0","0","","6","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","RECORD_DELETED_FLAG","smallint","0","0","0","","7","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","CTL_ID","char","3","0","0","","8","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","INS_PROC_NAME","char","35","0","0","","9","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","INS_TXF_BATCH_ID","int","0","0","0","","10","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","UPD_PROC_NAME","char","35","0","0","","11","2023-03-08 08:05:53.541","Common_Team"
"DTPCSM","TCSM_AUM_PRIME","UPD_TXF_BATCH_ID","int","0","0","0","","12","2023-03-08 08:05:53.541","Common_Team"
