"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","AS_OF_DT","date","0","0","1","","1","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ACCOUNT_NUM","varchar","100","0","1","","2","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ACCOUNT_MODIFIER_NUM","varchar","20","0","1","","3","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","BANK_CODE","varchar","20","0","1","","4","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","BASE_ACCT_NUM","varchar","40","0","0","","5","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","COC_CODE","varchar","40","0","0","","6","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ABAL","decimal","22","3","0","","7","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","AINT_BF","decimal","22","3","0","","8","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","AFEE","decimal","22","3","0","","9","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","APREMIUM","decimal","22","3","0","","10","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ATOT_OUTS_THB","decimal","22","3","0","","11","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","CSTAT_ACCT","char","1","0","0","","12","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","CSTAT_INTERFACE","char","1","0","0","","13","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","BR_NO","varchar","40","0","0","","14","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","CCLASS","smallint","0","0","0","","15","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ALOSS_THB","decimal","22","3","0","","16","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","CCURRENCY","char","3","0","0","","17","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","CTDR_STAT","char","1","0","0","","18","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ABAL_NFF1_THB","decimal","22","3","0","","19","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ABAL_NFOTH_THB","decimal","22","3","0","","20","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ABAL_NF_THB","decimal","22","3","0","","21","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ABAL_EX","decimal","22","3","0","","22","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","AINT_BF_EX","decimal","22","3","0","","23","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","AFEE_EX","decimal","22","3","0","","24","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","APREMIUM_EX","decimal","22","3","0","","25","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","QDAY_NOT_PAID","int","0","0","0","","26","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ARESERV_BOT_THB","decimal","22","3","0","","27","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","UNDRAWN_LIMIT_CCY","decimal","18","2","0","","28","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","UNDRAWN_LIMIT_THB","decimal","18","2","0","","29","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","UNDUE_INT_AMT_THB","decimal","22","3","0","","30","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ADV_VAT_AMT_THB","decimal","22","3","0","","31","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","ECL_OTH_ASSET_THB","decimal","22","3","0","","32","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","DELTA_EIR_ADJ_AMT_THB","decimal","22","3","0","","33","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","FWD_PD_PCT","decimal","18","10","0","","34","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","FWD_PD_PCT_UP","decimal","18","10","0","","35","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","FWD_PD_PCT_DN","decimal","18","10","0","","36","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","FWD_LGD_PCT","decimal","18","10","0","","37","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","FWD_LGD_PCT_UP","decimal","18","10","0","","38","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","FWD_LGD_PCT_DN","decimal","18","10","0","","39","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","EAD_FINAL_ECL_DRAWN_THB","decimal","22","3","0","","40","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","EAD_FINAL_ECL_TOTAL_THB","decimal","22","3","0","","41","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","EAD_FINAL_ECL_UNDRAWN_THB","decimal","22","3","0","","42","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","DELINQUENT_DAYS","int","0","0","0","","43","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","DERECOGNISED_FLAG","char","1","0","0","","44","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","CURE_FLAG","char","1","0","0","","45","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","TDR_DATE","date","0","0","0","","46","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","DERECOGNITION_DATE","date","0","0","0","","47","2023-03-08 08:57:30.437","montarat"
"DTPEDW","TP_LLFP_ACCOUNT_LEVEL","POCI_FLAG","char","1","0","0","","48","2023-03-08 08:57:30.437","montarat"
