"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTPESN","TESN_CUST_INFO_SYNC","USER_ID","varchar","18","0","0","","1","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","PARTY_ID","int","0","0","0","","2","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","RM_ID","varchar","30","0","0","","3","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","PREFIX","varchar","50","0","0","","4","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","FIRST_NAME","varchar","120","0","0","","5","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","LAST_NAME","varchar","100","0","0","","6","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","CARD_ID_P1","varchar","100","0","0","","7","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","CARD_ID_P7","varchar","100","0","0","","8","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","CARD_ID_P8","varchar","100","0","0","","9","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","START_DT","date","0","0","0","","10","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","END_DT","date","0","0","0","","11","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","RECORD_DELETED_FLAG","smallint","0","0","0","","12","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","CTL_ID","char","3","0","0","","13","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","INS_PROC_NAME","char","35","0","0","","14","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","INS_TXF_BATCH_ID","int","0","0","0","","15","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","UPD_PROC_NAME","char","35","0","0","","16","2023-03-08 08:59:53.353","Common_Team"
"DTPESN","TESN_CUST_INFO_SYNC","UPD_TXF_BATCH_ID","int","0","0","0","","17","2023-03-08 08:59:53.353","Common_Team"
