"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTPESN","TESN_PROCESSDATE","AS_OF_DT","date","0","0","0","","1","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","FREQUENCY","char","1","0","0","","2","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","START_DT","date","0","0","0","","3","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","END_DT","date","0","0","0","","4","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","RECORD_DELETED_FLAG","smallint","0","0","0","","5","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","CTL_ID","char","3","0","0","","6","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","INS_PROC_NAME","char","35","0","0","","7","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","INS_TXF_BATCH_ID","int","0","0","0","","8","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","UPD_PROC_NAME","char","35","0","0","","9","2023-03-08 08:59:57.559","montarat"
"DTPESN","TESN_PROCESSDATE","UPD_TXF_BATCH_ID","int","0","0","0","","10","2023-03-08 08:59:57.559","montarat"
