"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTPUTM","TUTM_LIFE_STYLE_FULL","PARTY_ID","int","0","0","0","","1","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","RMID","char","30","0","0","","2","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","LIFESTYLE","char","2","0","0","","3","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","APPLICATION_DATE","date","0","0","0","","4","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","START_DT","date","0","0","0","","5","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","END_DT","date","0","0","0","","6","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","RECORD_DELETED_FLAG","smallint","0","0","1","","7","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","CTL_ID","char","10","0","0","","8","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","INS_TXF_BATCH_ID","int","0","0","0","","9","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","UPD_TXF_BATCH_ID","int","0","0","0","","10","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","INS_PROC_NAME","char","35","0","0","","11","2023-03-08 09:57:12.965","Common_Team"
"DTPUTM","TUTM_LIFE_STYLE_FULL","UPD_PROC_NAME","char","35","0","0","","12","2023-03-08 09:57:12.965","Common_Team"
