"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","MONTH_END_DT","date","0","0","0","","1","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","CROP_ID","varchar","100","0","0","","2","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","CROP_NAME_EN","varchar","100","0","0","","3","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","CROP_NAME_TH","varchar","100","0","0","","4","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","CARD_ACTIVATION","int","0","0","0","","5","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","PAY_ROLL_CNT","int","0","0","0","","6","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","PAY_ROLL_AMT","decimal","20","4","0","","7","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","START_DT","date","0","0","0","","8","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","END_DT","date","0","0","0","","9","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","RECORD_DELETED_FLAG","smallint","0","0","0","","10","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","CTL_ID","char","3","0","0","","11","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","INS_PROC_NAME","char","35","0","0","","12","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","INS_TXF_BATCH_ID","int","0","0","0","","13","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","UPD_PROC_NAME","char","35","0","0","","14","2023-03-08 10:02:28.326","Common_Team"
"DTTBO","FACT_CASH_CARD_MONITOR_MON","UPD_TXF_BATCH_ID","int","0","0","0","","15","2023-03-08 10:02:28.326","Common_Team"
