"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","AS_OF_DT","date","0","0","0","","1","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","GL_ACCOUNT_CODE","varchar","10","0","0","","2","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","GL_PRODUCT_CODE","varchar","10","0","0","","3","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","GL_RC_CODE","varchar","10","0","0","","4","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","GL_OC_CODE","varchar","10","0","0","","5","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","CURRENCY_CODE","smallint","0","0","0","","6","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","ACCOUNT_CUST_TYPE","varchar","2","0","0","","7","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","SPECIAL_SAVING_FLAG","varchar","1","0","0","","8","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","PARTY_SEGMENT_START_DT","date","0","0","0","","9","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","SEGMENT","varchar","50","0","0","","10","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","SUBSEGMENT","varchar","50","0","0","","11","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","SEG_GROUP","varchar","80","0","0","","12","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","DIVISION","varchar","80","0","0","","13","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","INDUSTRY","varchar","80","0","0","","14","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","SUB_INDUSTRY","varchar","80","0","0","","15","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","NUMBER_OF_CUSTOMER_CNT","int","0","0","0","","16","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","NUMBER_OF_ACCOUNT_CNT","int","0","0","0","","17","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","CURRENT_BALANCE","decimal","18","2","0","","18","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","START_DT","date","0","0","0","","19","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","END_DT","date","0","0","0","","20","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","RECORD_DELETED_FLAG","smallint","0","0","1","","21","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","CTL_ID","char","10","0","0","","22","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","INS_TXF_BATCH_ID","int","0","0","0","","23","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","UPD_TXF_BATCH_ID","int","0","0","0","","24","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","INS_PROC_NAME","char","35","0","0","","25","2023-03-08 10:50:28.974","montarat"
"DTTBO","FACT_FINGL_DEPOSIT_DAILY","UPD_PROC_NAME","char","35","0","0","","26","2023-03-08 10:50:28.974","montarat"
