"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","AS_OF_DT","date","0","0","1","","1","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","PARTY_ASSET_ID","int","0","0","1","","2","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","RELATED_PARTY_ASSET_ID","int","0","0","1","","3","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","RELATED_PARTY_ASSET_HOST_NUM","varchar","50","0","1","","4","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_NUM","varchar","150","0","0","","5","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_BOOK_NUM","varchar","50","0","0","","6","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_PAGE_NUM","varchar","50","0","0","","7","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_LAND_NUM","varchar","50","0","0","","8","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_SURVEY_PAGE_NUM","varchar","50","0","0","","9","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_SARABOB_NUM","varchar","50","0","0","","10","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_RAWANG_NAME","varchar","100","0","0","","11","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_RAWANG_NUM","varchar","50","0","0","","12","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","REGIST_RAWANG_PAGE_NUM","varchar","50","0","0","","13","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","RAI_NUM","decimal","18","2","0","","14","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","NGAN_NUM","decimal","18","2","0","","15","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","TARANGWA_NUM","decimal","18","2","0","","16","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","ROOM_NUM","varchar","50","0","0","","17","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","FLOOR_NUM","varchar","50","0","0","","18","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","BUILDING_NUM","varchar","50","0","0","","19","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","AREA_NUM","decimal","18","2","0","","20","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","START_DT","date","0","0","0","","21","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","END_DT","date","0","0","0","","22","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","RECORD_DELETED_FLAG","smallint","0","0","1","","23","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","CTL_ID","char","10","0","0","","24","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","INS_TXF_BATCH_ID","int","0","0","0","","25","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","UPD_TXF_BATCH_ID","int","0","0","0","","26","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","INS_PROC_NAME","char","35","0","0","","27","2023-03-08 09:57:51.488","Common_Team"
"DTTBO","FACT_LEAD_PARTY_ASSET_DETAIL","UPD_PROC_NAME","char","35","0","0","","28","2023-03-08 09:57:51.488","Common_Team"
