"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_LTV_BAL_LIMIT","As_Of_Dt","date","0","0","1","","1","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Base_Account_Num","varchar","100","0","1","''","2","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Account_Num","varchar","100","0","1","","3","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Account_Modifier_Num","varchar","20","0","1","","4","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Bill_Account_Num","varchar","100","0","0","","5","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Bill_Account_Modifier_Num","varchar","20","0","0","","6","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Bal_Amt","decimal","18","2","0","","7","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","ALS_Credit_Limit","decimal","18","2","0","","8","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Agreement_Level","smallint","0","0","0","","9","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Sub_Type","smallint","0","0","0","","10","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Risk_Grade_Id","int","0","0","0","","11","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Start_Dt","date","0","0","0","","12","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","End_Dt","date","0","0","0","","13","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Record_Deleted_Flag","smallint","0","0","1","","14","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Ctl_Id","char","10","0","0","","15","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Ins_Txf_Batch_Id","int","0","0","0","","16","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Upd_Txf_Batch_Id","int","0","0","0","","17","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Ins_Proc_Name","char","35","0","0","","18","2023-03-08 09:57:47.282","Common_Team"
"DTTBO","FACT_LTV_BAL_LIMIT","Upd_Proc_Name","char","35","0","0","","19","2023-03-08 09:57:47.282","Common_Team"
