"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_LTV_MON","as_of_dt","date","0","0","1","","1","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","base_account_num","varchar","100","0","1","''","2","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","account_num","varchar","100","0","1","","3","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","account_modifier_num","varchar","20","0","1","","4","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","risk_grade_id","int","0","0","0","","5","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","flag_one","char","1","0","0","","6","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","bal_amt","decimal","18","2","0","","7","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","als_credit_limit","decimal","18","2","0","","8","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","appraisal_amt","decimal","18","2","0","","9","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","ltv_ratio","decimal","18","2","0","","10","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","type_of_building","varchar","100","0","0","","11","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","start_dt","date","0","0","0","","12","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","end_dt","date","0","0","0","","13","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","record_deleted_flag","smallint","0","0","1","","14","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","ctl_id","char","10","0","0","","15","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","ins_txf_batch_id","int","0","0","0","","16","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","upd_txf_batch_id","int","0","0","0","","17","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","ins_proc_name","char","35","0","0","","18","2023-03-08 10:19:01.910","Common_Team"
"DTTBO","FACT_LTV_MON","upd_proc_name","char","35","0","0","","19","2023-03-08 10:19:01.910","Common_Team"
