"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","LEAD_QUOTATION_ACCOUNT","AS_OF_DT","date","0","0","0","","1","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","ACCOUNT_SIM_NUM","varchar","10","0","0","","2","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","QUOTATION_NUM","varchar","15","0","0","","3","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","QUOTATION_SEQ_NUM","smallint","0","0","0","","4","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CREDIT_LINE_TYPE_CD","smallint","0","0","0","","5","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CREDIT_SEQ_NUM","smallint","0","0","0","","6","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","LAC_IND","varchar","10","0","0","","7","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","PREVIOUS_CREDIT_LIMIT_AMT","decimal","16","2","0","","8","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CURRENCY_TYPE_CD","varchar","3","0","0","","9","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CREDIT_LINE_AMT","decimal","16","2","0","","10","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","AMOUNT_TYPE_CD","char","1","0","0","","11","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CREDIT_TERM_YEAR_CNT","smallint","0","0","0","","12","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CREDIT_TERM_MONTH_CNT","smallint","0","0","0","","13","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","INSTALLMENT_PER_MONTH_AMT","decimal","16","2","0","","14","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","BRANCH_CODE_NUM","varchar","4","0","0","","15","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","PAYMENT_CONDITION_TYPE_CD","varchar","1","0","0","","16","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","INTEREST_RATE_TYPE_CD","char","1","0","0","","17","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","INTEREST_GRACE_PERIOD_CNT","smallint","0","0","0","","18","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","MONTH_NUM_PER_1_PAY_CYCLE_CNT","smallint","0","0","0","","19","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","INTEREST_COMPUTE_RATE","decimal","10","7","0","","20","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","PERIOD_CNT","int","0","0","0","","21","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","FLAG_ST_TYPE_CD","char","1","0","0","","22","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","INTEREST_PAY_COND_TYPE_CD","char","1","0","0","","23","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","FEE_1_RATE","decimal","4","2","0","","24","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","FEE_2_RATE","decimal","4","2","0","","25","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","FEE_BAHT_AMT","decimal","15","2","0","","26","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CONVERT_LIMIT_IND","char","1","0","0","","27","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","SORT_SEQ_NUM","smallint","0","0","0","","28","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","CLOSE_ACCOUNT_IND","char","1","0","0","","29","2023-03-08 10:01:36.629","Common_Team"
"DTTBO","LEAD_QUOTATION_ACCOUNT","LOAN_AT_DT","date","0","0","0","","30","2023-03-08 10:01:36.629","Common_Team"
