"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","AS_OF_DT","date","0","0","0","","1","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","PARTY_NUM","varchar","20","0","0","","2","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","PARTY_TYPE_CD","char","1","0","0","","3","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","QUOTATION_NUM","varchar","15","0","0","","4","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","QUOTATION_SEQ_NUM","int","0","0","0","","5","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","QUOTATION_LOAN_ID","decimal","15","0","0","","6","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MCS_PA_SCORE_CNT","int","0","0","0","","7","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MCS_PA_SCORE_GRADE_VAL","varchar","5","0","0","","8","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MCS_PA_GROUP_TYPE_CD","int","0","0","0","","9","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MCS_PA_SCORE_DTTM","timestamp","0","0","0","","10","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MCS_PA_MODEL_ID","int","0","0","0","","11","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MCS_PA_CUTOFF_ID","int","0","0","0","","12","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","A_SCORE_CNT","decimal","15","5","0","","13","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","A_SCORE_MODEL_ID","decimal","15","5","0","","14","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","A_SCORE_DTTM","timestamp","0","0","0","","15","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","START_DT","date","0","0","0","","16","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","END_DT","date","0","0","0","","17","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","RECORD_DELETED_FLAG","smallint","0","0","1","","18","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","CTL_ID","char","10","0","0","","19","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","INS_TXF_BATCH_ID","int","0","0","0","","20","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","UPD_TXF_BATCH_ID","int","0","0","0","","21","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","INS_PROC_NAME","char","35","0","0","","22","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","UPD_PROC_NAME","char","35","0","0","","23","2023-03-08 10:18:05.532","Common_Team"
"DTTBO","LEAD_QUOTATION_PARTY_LOAN","MAXPROPAPPRVALUE","decimal","20","5","0","","24","2023-03-08 10:18:05.532","Common_Team"
