"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","AS_OF_DT","date","0","0","0","","1","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","ACCOUNT_SIM_NUM","varchar","20","0","0","","2","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","QUOTATION_NUM","varchar","20","0","0","","3","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","QUOTATION_SEQ_NUM","int","0","0","0","","4","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","SUBLIMIT_SEQ_NUM","int","0","0","0","","5","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","AMOUNT_TIER_SEQ_NUM","int","0","0","0","","6","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","SUBLIMIT_TYPE_CD","varchar","10","0","0","","7","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","FROM_AMT","decimal","15","2","0","","8","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","AMT","decimal","15","2","0","","9","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","AMOUNT_BY_AMOUNT_TIER_VAL","varchar","10","0","0","","10","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","START_DT","date","0","0","0","","11","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","END_DT","date","0","0","0","","12","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","RECORD_DELETED_FLAG","smallint","0","0","1","","13","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","CTL_ID","char","10","0","0","","14","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","INS_TXF_BATCH_ID","int","0","0","0","","15","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","UPD_TXF_BATCH_ID","int","0","0","0","","16","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","INS_PROC_NAME","char","35","0","0","","17","2023-03-08 10:34:32.898","Common_Team"
"DTTBO","LEAD_QUO_ACCOUNT_AMT_TIER","UPD_PROC_NAME","char","35","0","0","","18","2023-03-08 10:34:32.898","Common_Team"
