"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTEDW","PROD_GROUP_ASSOCIATION","Product_Id","int","0","0","1","","1","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Product_Group_Id","int","0","0","1","","2","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Prod_Assoc_Start_Dt","date","0","0","1","'1000-01-04'","3","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Prod_Assoc_End_Dt","date","0","0","0","'1000-01-04'","4","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Start_Dt","date","0","0","0","","5","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","End_Dt","date","0","0","0","","6","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Record_Deleted_Flag","smallint","0","0","1","","7","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Ctl_Id","char","10","0","0","","8","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Ins_Txf_Batch_Id","int","0","0","0","","9","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Upd_Txf_Batch_Id","int","0","0","0","","10","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Ins_Proc_Name","char","35","0","0","","11","2023-03-08 11:30:48.461","Common_Team"
"DTTEDW","PROD_GROUP_ASSOCIATION","Upd_Proc_Name","char","35","0","0","","12","2023-03-08 11:30:48.461","Common_Team"
