"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTESL","EDW_QUOTATION_CCAP","Quotation_CCAP_Id","int","0","0","1","","1","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","As_Of_Dt","date","0","0","1","","2","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Host_Quotation_CCAP_Id","varchar","50","0","0","","3","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Quotation_CCAP_Txt","varchar","1000","0","0","","4","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Credit_Card_Account_Num","varchar","100","0","0","","5","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Credit_Card_Acct_Modifier_Num","varchar","20","0","0","","6","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Speedy_Loan_Account_Num","varchar","100","0","0","","7","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Speedy_Loan_Acct_Modifier_Num","varchar","20","0","0","","8","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","HP_Loan_Account_Num","varchar","100","0","0","","9","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","HP_Loan_Acct_Modifier_Num","varchar","20","0","0","","10","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Payment_Deposit_Account_Num","varchar","100","0","0","","11","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Pay_Dep_Acct_Modifier_Num","varchar","20","0","0","","12","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","CCIS_Receive_Dt","timestamp","0","0","0","","13","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Mail_to_Branch_Dt","timestamp","0","0","0","","14","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Host_Transfer_Dt","timestamp","0","0","0","","15","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Confirm_Detl_Txt","varchar","100","0","0","","16","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Credit_Card_Type_Cd","smallint","0","0","0","","17","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Card_Category_Cd","smallint","0","0","0","","18","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Card_Type_Cd","smallint","0","0","0","","19","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Debit_Condition_Cd","smallint","0","0","0","","20","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Payment_Account_Type_Cd","smallint","0","0","0","","21","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Payment_Method_Cd","smallint","0","0","0","","22","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Pinphone_Ind","char","3","0","0","","23","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Preapprove_Type_Cd","smallint","0","0","0","","24","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Job_Priority_Cd","smallint","0","0","0","","25","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Loan_Purpose_Cd","smallint","0","0","0","","26","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Sub_Card_Type_Cd","smallint","0","0","0","","27","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Customer_Fee_Type_Cd","smallint","0","0","0","","28","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Entrance_Fee_Type_Cd","smallint","0","0","0","","29","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Annual_Fee_Type_Cd","smallint","0","0","0","","30","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Approval_Override_Pct","decimal","9","4","0","","31","2023-03-08 12:03:47.569","Common_Team"
"DTTESL","EDW_QUOTATION_CCAP","Approval_Self_Employ_Pct","decimal","9","4","0","","32","2023-03-08 12:03:47.569","Common_Team"
