"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTESL","EDW_REPO_COLLATERAL","Collateral_Item_Id","int","0","0","1","","1","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","As_of_Dt","date","0","0","1","","2","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Collateral_Ctl_Id","char","10","0","0","","3","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Investment_Product_Id","int","0","0","0","","4","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Portfolio_Product_Start_Dt","date","0","0","0","","5","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Invest_Collateral_Type_Cd","smallint","0","0","0","","6","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Invest_Collateral_Sub_Type_Cd","smallint","0","0","0","","7","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Issuer_Name","varchar","100","0","0","","8","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Transferable_Collateral_Flag","char","3","0","0","","9","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Repo_Account_Num","varchar","100","0","0","","10","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Repo_Account_Modifier_Num","varchar","20","0","0","","11","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Collateral_Preadj_Amt","decimal","38","12","0","","12","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Collateral_After_Adj_Amt","decimal","38","12","0","","13","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Collateral_Value_Adj_Rate","decimal","18","10","0","","14","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Variation_Margin_Rate","decimal","18","10","0","","15","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Dirty_Price_Amt","decimal","38","12","0","","16","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Start_Dt","date","0","0","0","","17","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","End_Dt","date","0","0","0","","18","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Record_Deleted_Flag","smallint","0","0","1","","19","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Ctl_Id","char","10","0","0","","20","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Ins_Txf_Batch_Id","int","0","0","0","","21","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Upd_Txf_Batch_Id","int","0","0","0","","22","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Ins_Proc_Name","char","35","0","0","","23","2023-03-08 12:01:29.966","Common_Team"
"DTTESL","EDW_REPO_COLLATERAL","Upd_Proc_Name","char","35","0","0","","24","2023-03-08 12:01:29.966","Common_Team"
