"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","GL_PROD_GRP_LV1_DESC","VARCHAR","80","0","0","","1","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","GL_PROD_GRP_LV2_DESC","VARCHAR","80","0","0","","2","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","GL_PROD_GRP_LV3_DESC","VARCHAR","80","0","0","","3","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","GL_PROD_GRP_LV4_DESC","VARCHAR","80","0","0","","4","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","GL_PRODUCT_CODE","VARCHAR","4","0","0","","5","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","GL_ACCOUNT_CODE","VARCHAR","5","0","0","","6","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","TDR_IND","VARCHAR","1","0","0","","7","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","LQD_IND","VARCHAR","1","0","0","","8","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","INTERBANK_IND","VARCHAR","1","0","0","","9","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","FCY_IND","VARCHAR","1","0","0","","10","2023-03-08 13:18:06.705","Phase3"
"FILE","BIPRM_FINGL_CPCPRODUCT_1_0","PORTFOLIO_IND","VARCHAR","1","0","0","","11","2023-03-08 13:18:06.705","Phase3"
