"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","LOOKUP_ID","NUMERIC","5","0","0","","1","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","LOOKUP_VALUE_ID","NUMERIC","10","0","0","","2","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","LOOKUP_NAME","VARCHAR","255","0","0","","3","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","LOOKUP_VAL","VARCHAR","50","0","0","","4","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","LOOKUP_VAL_DESC_EN","VARCHAR","1000","0","0","","5","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","LOOKUP_VAL_DESC_TH","VARCHAR","1000","0","0","","6","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","COMPARE_ATTRIBUTE","VARCHAR","255","0","0","","7","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","COMPARE_OPERATER","VARCHAR","50","0","0","","8","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","COMPARE_VALUE_VAL1","VARCHAR","50","0","0","","9","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","COMPARE_VALUE_VAL2","VARCHAR","50","0","0","","10","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","COMPARE_VALUE_DESC1","VARCHAR","255","0","0","","11","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","COMPARE_VALUE_DESC2","VARCHAR","255","0","0","","12","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","RESULT_VALUE_VAL","VARCHAR","50","0","0","","13","2023-03-08 14:12:23.419","Phase3"
"FILE","BI_PRM_FINGL_SURV_FORM_1_0","RESULT_VALUE_DESC","VARCHAR","255","0","0","","14","2023-03-08 14:12:23.419","Phase3"
