"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"FILE","EDW_SCBPRD_1_0","SCB_PRD_CD","VARCHAR","4","0","0","","1","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","PRD_TYPE_CD","VARCHAR","4","0","0","","2","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","PRD_CD","VARCHAR","4","0","0","","3","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","SCB_PRD_TNAME","VARCHAR","100","0","0","","4","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","SCB_PRD_ENAME","VARCHAR","100","0","0","","5","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","SCB_PRD_IND","VARCHAR","1","0","0","","6","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","SCB_PRD_CRE_DTE","DATE","10","0","0","","7","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","USER_LU","VARCHAR","8","0","0","","8","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","LU_DTE","DATE","10","0","0","","9","2023-03-08 15:44:10.244","Phase2"
"FILE","EDW_SCBPRD_1_0","CSLR_PRD_CD","VARCHAR","4","0","0","","10","2023-03-08 15:44:10.244","Phase2"
