"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"FILE","VNSS_STEPPAY_ADD_M","ACTIVITY_FLAG","VARCHAR","1","0","0","","1","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","PRODUCT_TYPE_CODE","VARCHAR","9","0","0","","2","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","PRODUCT_NUMBER","VARCHAR","11","0","0","","3","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","REFERENCE_ID","VARCHAR","100","0","0","","4","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","REFERENCE_TYPE","VARCHAR","2","0","0","","5","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","CUSTOMER_NAME","VARCHAR","40","0","0","","6","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","CHANNEL","VARCHAR","4","0","0","","7","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","CREATED_USER","VARCHAR","4","0","0","","8","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","DESTINATION_TYPE","VARCHAR","3","0","0","","9","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","DESTINATION_ADDRESS","VARCHAR","100","0","0","","10","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","LANGUAGE_NSS","VARCHAR","2","0","0","","11","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","FEE_TYPE","VARCHAR","5","0","0","","12","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","DEBIT_FEE_ACCOUNT","VARCHAR","10","0","0","","13","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","DEBIT_FEE_ACCOUNT_TYPE","VARCHAR","7","0","0","","14","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","WAIVE_FLAG","VARCHAR","1","0","0","","15","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","FEE_WAIVE_EXPIRY_DATE","VARCHAR","8","0","0","","16","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","ALERT_TYPE","VARCHAR","20","0","0","","17","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","ALERT_STATUS","VARCHAR","7","0","0","","18","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","ALERT_CONDITIONAL","VARCHAR","1","0","0","","19","2023-03-08 13:14:15.489","Phase2"
"FILE","VNSS_STEPPAY_ADD_M","FILLER","VARCHAR","1","0","0","","20","2023-03-08 13:14:15.489","Phase2"
