"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","AS_OF_DT","DATE","10","0","0","","1","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","TRANSACTION_MONTH","CHAR","2","0","0","","2","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","TRANSACTION_YEAR","CHAR","4","0","0","","3","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","TRANSACTION_TYPE","VARCHAR","100","0","0","","4","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","TRANSACTION_SOURCE","VARCHAR","2","0","1","","5","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","TRANSACTION_SOURCE_FLAG","VARCHAR","6","0","1","","6","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","BRANCH_TERMINAL_CODE","CHAR","10","0","0","","7","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","PROVINCE_CODE_BOT","VARCHAR","15","0","0","","8","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","PROVINCE_NAME","VARCHAR","50","0","0","","9","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","BILLPAY_TYPE","VARCHAR","50","0","0","","10","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","PAYMENT_MODE","VARCHAR","100","0","0","","11","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","PAYMENT_RANGE","VARCHAR","100","0","0","","12","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","NO_OF_TRANSACTION","INTEGER","10","0","0","","13","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","TRANSACTION_AMOUNT","DECIMAL","18","2","0","","14","2023-03-09 00:48:08.324","Phase3"
"VTXEDW","FACT_BOT_BILLPAY_AGGR","NO_OF_BILLERS","INTEGER","10","0","1","","15","2023-03-09 00:48:08.324","Phase3"
