"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","AS_OF_DT","date","0","0","0","","1","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","ACCOUNT_NO","varchar","100","0","0","","2","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","ACCOUNT_MODIFIER_NUM","varchar","20","0","0","","3","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","GL_PRD_CODE","string","0","0","0","","4","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","GL_ACCT_CODE","string","0","0","0","","5","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","MIS_PRDCD","varchar","35","0","0","","6","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","MIS_PRDNM","varchar","100","0","0","","7","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","CUST_ID","string","0","0","0","","8","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","CUST_NM","string","0","0","0","","9","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","RM_NO","varchar","100","0","0","","10","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","OC_CODE","char","10","0","0","","11","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","ITSC_CODE","string","0","0","0","","12","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","BILL_AMT","decimal","28","2","0","","13","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","OS_AMT_TRD","decimal","28","2","0","","14","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","OS_AMT_OSA","decimal","28","2","0","","15","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","COMMO_CD","varchar","50","0","0","","16","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","COMMO_NM","varchar","250","0","0","","17","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","COMM_ID","varchar","100","0","0","","18","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","CURR_CD","smallint","0","0","0","","19","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","STR_DATE","date","0","0","0","","20","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","VAL_DATE","date","0","0","0","","21","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","DUE_DATE","date","0","0","0","","22","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","INT_STR","date","0","0","0","","23","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","BOT_TYPE","smallint","0","0","0","","24","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","TENOR","char","10","0","0","","25","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","PAS_DATE","date","0","0","0","","26","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","SUSP_DATE","date","0","0","0","","27","2023-03-09 01:20:44.050","montarat"
"VTXEDW","FACT_MIS_IMEX_ACCOUNT","INT_RATE","decimal","20","10","0","","28","2023-03-09 01:20:44.050","montarat"
