"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","LEAD_PARTY_APPLICATION","AS_OF_DT","date","0","0","0","","1","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","APPLICATION_NUM","string","0","0","0","","2","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","PARTY_NUM","string","0","0","0","","3","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","PARTY_TYPE_CD","string","0","0","0","","4","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","OBJECTIVE_TYPE_CD","string","0","0","0","","5","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","ACCOUNT_SUB_TYPE_CD","string","0","0","0","","6","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","ASSIGN_IND","string","0","0","0","","7","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","BOOK_BY_STAFF_NUM","string","0","0","0","","8","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","BOOK_DT","date","0","0","0","","9","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","LIMIT_AMT","decimal","16","2","0","","10","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","CURRENCY_TYPE_CD","string","0","0","0","","11","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","GEN_FROM_CA_NUM","string","0","0","0","","12","2023-03-09 02:36:04.003","montarat"
"VTXEDW","LEAD_PARTY_APPLICATION","REGIS_DTTM","timestamp","0","0","0","","13","2023-03-09 02:36:04.003","montarat"
