"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","LEAD_PARTY_COMMUNICATION","AS_OF_DT","date","0","0","0","","1","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","PARTY_NUM","string","0","0","0","","2","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","PARTY_TYPE_CD","string","0","0","0","","3","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","COMM_TYPE_CD","string","0","0","0","","4","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","COMM_USAGE_TYPE_CD","string","0","0","0","","5","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","COMM_SERIAL","string","0","0","0","","6","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","TEL_CODE_NUM","string","0","0","0","","7","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","TEL_NUM","string","0","0","0","","8","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","TEL_TO_NUM","string","0","0","0","","9","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","TEL_EXT_NUM","string","0","0","0","","10","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","EMAIL_TXT","string","0","0","0","","11","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","COMMENT_TXT","string","0","0","0","","12","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","EQU_SEQ_NUM","string","0","0","0","","13","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","ADDR_SEQ_NUM","string","0","0","0","","14","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","DATA_FROM_CUSTOMER_IND","string","0","0","0","","15","2023-03-09 02:32:07.373","montarat"
"VTXEDW","LEAD_PARTY_COMMUNICATION","XREF_CONT_ID","decimal","19","0","0","","16","2023-03-09 02:32:07.373","montarat"
