"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","As_of_Dt","DATE","0","0","0","","1","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Account_Num","VARCHAR","100","0","1","","2","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Account_Modifier_Num","VARCHAR","20","0","1","","3","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Acct_Product_Id","INTEGER","0","0","1","","4","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Agmt_Ctl_Id","CHAR","10","0","0","","5","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","base_account_num","VARCHAR","100","0","0","","6","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Account_Currency_Cd","SMALLINT","0","0","0","","7","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Curr_Translation_Rate","DECIMAL","18","10","0","","8","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Curr_Translation_Start_Dttm","DATE","0","0","0","","9","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","GL_Account_Code_Val","CHAR","10","0","0","","10","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","GL_Product_Code_Val","CHAR","10","0","0","","11","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Fund_Ind","VARCHAR","1","0","0","","12","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Cust_Balance_Amt","DECIMAL","18","4","0","","13","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Cust_Balance_Baht_Amt","DECIMAL","36","14","0","","14","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Cust_MTD_Avg_Bal_Amt","DECIMAL","18","4","0","","15","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Cust_MTD_OD_Avg_Bal_Amt","DECIMAL","18","4","0","","16","2023-03-09 05:23:20.131","INT_NARISAY"
"VTXEDW","TVESL_ACCOUNT_BALANCE_08_IXI","Bank_Balance_Amt","DECIMAL","18","4","0","","17","2023-03-09 05:23:20.131","INT_NARISAY"
