"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","As_of_Dt","date","0","0","0","","1","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Account_Num","varchar","100","0","0","","2","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Account_Modifier_Num","varchar","20","0","0","","3","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Feature_Id","int","0","0","0","","4","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Tier_Num","varchar","10","0","0","","5","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","AGMT_CTL_ID","char","10","0","0","","6","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Account_Currency_Cd","int","0","0","0","","7","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Source_To_Target_Currency_Rate","decimal","18","10","0","","8","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Fixed_Variable_Ind","char","3","0","0","","9","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Interest_Index_Cd","smallint","0","0","0","","10","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Acct_Interest_Feat_Txt","varchar","250","0","0","","11","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Acct_Interest_Feat_From_Amt","decimal","18","2","0","","12","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Acct_Interest_Feat_To_Amt","decimal","18","2","0","","13","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Acct_Interest_Feat_Rate","decimal","18","10","0","","14","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Acct_Interest_Spread_Rate","decimal","18","10","0","","15","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Acct_Interest_Feat_Final_Rate","decimal","18","10","0","","16","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","LAST_INTEREST_UPDATE_DT","null","0","0","0","","17","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","ACCT_INTEREST_START_DT","date","0","0","0","","18","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","ACCT_INTEREST_END_DT","date","0","0","0","","19","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Base_Day_Num","string","0","0","0","","20","2023-03-09 04:55:42.471","montarat"
"VTXEDW","TVESL_ACCT_INT_CURR_TRANS_B2K","Accrual_Basis_Num","string","0","0","0","","21","2023-03-09 04:55:42.471","montarat"
