"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","AS_OF_DT","date","0","0","0","","1","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCOUNT_NUM","varchar","100","0","0","","2","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCOUNT_MODIFIER_NUM","varchar","20","0","0","","3","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","TIER_NUM","varchar","10","0","0","","4","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","AGMT_CTL_ID","char","3","0","0","","5","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCOUNT_CURRENCY_CD","smallint","0","0","0","","6","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CURR_TRANSLATION_RATE","decimal","18","10","0","","7","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","FIXED_VARIABLE_IND","char","3","0","0","","8","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","INTEREST_INDEX_CD","smallint","0","0","0","","9","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BASE_DAY_NUM","varchar","250","0","0","","10","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INTEREST_FEAT_FROM_AMT","decimal","18","2","0","","11","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INTEREST_FEAT_TO_AMT","decimal","18","2","0","","12","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INTEREST_RATE","decimal","18","10","0","","13","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INT_SPREAD_RATE","decimal","18","10","0","","14","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INT_FINAL_RATE","decimal","18","10","0","","15","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","LAST_INTEREST_UPDATE_DT","date","0","0","0","","16","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INTEREST_START_DT","date","0","0","0","","17","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_INTEREST_END_DT","date","0","0","0","","18","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","INT_GL_PRODUCT_CODE_VAL","varchar","100","0","0","","19","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","INT_GL_ACCOUNT_CODE_VAL","varchar","100","0","0","","20","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_INT_ACC_PAY_AMT","decimal","18","4","0","","21","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_INT_ACC_PAY_BAHT_AMT","decimal","18","2","0","","22","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_DAY_INT_ACC_PAY_AMT","decimal","18","4","0","","23","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_DAY_INT_ACC_PAY_BAHT_AMT","decimal","18","2","0","","24","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_MTD_INT_ACC_PAY_AMT","decimal","18","4","0","","25","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_MTD_INT_ACC_PAY_BAHT_AMT","decimal","18","2","0","","26","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_INT_ACC_REC_AMT","decimal","18","2","0","","27","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_INT_ACC_REC_BAHT_AMT","decimal","18","2","0","","28","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_DAY_INT_ACC_REC_AMT","decimal","18","4","0","","29","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_DAY_INT_ACC_REC_BAHT_AMT","decimal","18","2","0","","30","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_MTD_INT_ACC_REC_AMT","decimal","18","2","0","","31","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_MTD_INT_ACC_REC_BAHT_AMT","decimal","18","2","0","","32","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_INT_NON_ACC_AMT","decimal","18","2","0","","33","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_INT_NON_ACC_BAHT_AMT","decimal","18","2","0","","34","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_DAY_INT_NON_ACC_AMT","decimal","18","4","0","","35","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_DAY_INT_NON_ACC_BAHT_AMT","decimal","18","2","0","","36","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_MTD_INT_NON_ACC_AMT","decimal","18","4","0","","37","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","CUST_MTD_INT_NON_ACC_BAHT_AMT","decimal","18","2","0","","38","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_INT_ACC_PAY_AMT","decimal","18","4","0","","39","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_INT_ACC_PAY_BAHT_AMT","decimal","18","2","0","","40","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_DAY_INT_ACC_PAY_AMT","decimal","18","4","0","","41","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_DAY_INT_ACC_PAY_BAHT_AMT","decimal","18","2","0","","42","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_INT_ACC_REC_AMT","decimal","20","4","0","","43","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_INT_ACC_REC_BAHT_AMT","decimal","18","2","0","","44","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_DAY_INT_ACC_REC_AMT","decimal","18","4","0","","45","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_DAY_INT_ACC_REC_BAHT_AMT","decimal","18","2","0","","46","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_MTD_INT_ACC_REC_AMT","decimal","20","4","0","","47","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_MTD_INT_ACC_REC_BAHT_AMT","decimal","18","2","0","","48","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_INT_NON_ACC_AMT","decimal","20","4","0","","49","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_INT_NON_ACC_BAHT_AMT","decimal","18","2","0","","50","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_DAY_INT_NON_ACC_AMT","decimal","18","4","0","","51","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_DAY_INT_NON_ACC_BAHT_AMT","decimal","18","2","0","","52","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_MTD_INT_NON_ACC_AMT","decimal","18","4","0","","53","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","BANK_MTD_INT_NON_ACC_BAHT_AMT","decimal","18","2","0","","54","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","PREPAID_INT_AMT","decimal","18","4","0","","55","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","PREPAID_INT_BAHT_AMT","decimal","18","2","0","","56","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","OD_INTEREST_A_AMT","decimal","18","2","0","","57","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","INT_UNEARNED_DISCOUNT_AMT","decimal","18","4","0","","58","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","INT_UNEARNED_DISCOUNT_BAHT_AMT","decimal","18","2","0","","59","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","INTEREST_ACTIVE_IND","string","0","0","0","","60","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCRUAL_BASIS_NUM","string","0","0","0","","61","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","ACCT_AVERAGE_INTEREST_RATE","decimal","18","10","0","","62","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","PREV_RATE_EFFECTIVE_DT","date","0","0","0","","63","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","Orig_Int_Discount_Amt","decimal","18","2","0","","64","2023-03-09 02:24:20.574","montarat"
"VTXEDW","TVESL_EDW_ACCOUNT_INTEREST_FCD","Orig_Int_Discount_Baht_Amt","decimal","18","2","0","","65","2023-03-09 02:24:20.574","montarat"
