"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","AS_OF_DT","date","0","0","0","","1","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCOUNT_NUM","varchar","100","0","0","","2","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCOUNT_MODIFIER_NUM","varchar","20","0","0","","3","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","AGMT_CTL_ID","char","10","0","0","","4","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCOUNT_FEATURE_ROLE_CD","smallint","0","0","0","","5","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","PRODUCT_ID","int","0","0","0","","6","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","FEATURE_ID","int","0","0","0","","7","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","TIER_NUM","varchar","50","0","0","","8","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","SEQUENCE_NUM","varchar","10","0","0","","9","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","FEE_START_DT","date","0","0","0","","10","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","FEE_END_DT","date","0","0","0","","11","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","FEE_TYPE_DESC","varchar","250","0","0","","12","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","CURRENCY_CD","smallint","0","0","0","","13","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_FEAT_CHARGE_AMT","decimal","18","2","0","","14","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_FEAT_FROM_AMT","decimal","28","2","0","","15","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_FEAT_TO_AMT","decimal","28","2","0","","16","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_FEAT_PCT","decimal","26","10","0","","17","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_FEAT_NUM","string","0","0","0","","18","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_FEAT_TXT","varchar","1000","0","0","","19","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_EFFECTIVE_START_DT","date","0","0","0","","20","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_EFFECTIVE_END_DT","date","0","0","0","","21","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_DAY_NUM","varchar","50","0","0","","22","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_MONTH_NUM","varchar","50","0","0","","23","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_PERIOD_TYPE_CD","smallint","0","0","0","","24","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_TYPE_CD","smallint","0","0","0","","25","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_CALC_METHOD_CD","smallint","0","0","0","","26","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_TIER_TYPE_CD","smallint","0","0","0","","27","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_TRAN_TYPE_CD","smallint","0","0","0","","28","2023-03-09 06:20:03.248","montarat"
"VTXEDW","VESL_EDW_ACCOUNT_FEE","ACCT_FEE_STATUS_CD","int","0","0","0","","29","2023-03-09 06:20:03.248","montarat"
