"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","As_Of_Dt","date","0","0","0","","1","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","Account_Num","varchar","100","0","0","","2","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","Account_Modifier_Num","varchar","20","0","0","","3","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","Agmt_Ctl_Id","char","10","0","0","","4","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","Acct_Product_Id","int","0","0","0","","5","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","Base_Account_Num","varchar","100","0","0","","6","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","Days_Num","smallint","0","0","0","","7","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MINF_BANK_BALANCE_AMT_DD","decimal","18","2","0","","8","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MAXF_BANK_BALANCE_AMT_DD","decimal","18","2","0","","9","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","SUMF_BANK_BALANCE_AMT_DD","decimal","28","2","0","","10","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","AVGF_BANK_BALANCE_AMT_DD","decimal","34","8","0","","11","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MINF_BANK_BALANCE_AMT_BAHT_DD","decimal","18","2","0","","12","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MAXF_BANK_BALANCE_AMT_BAHT_DD","decimal","18","2","0","","13","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","SUMF_BANK_BALANCE_AMT_BAHT_DD","decimal","28","2","0","","14","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","AVGF_BANK_BALANCE_AMT_BAHT_DD","decimal","34","8","0","","15","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MINN_BANK_BALANCE_AMT_DD","decimal","18","2","0","","16","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MAXN_BANK_BALANCE_AMT_DD","decimal","18","2","0","","17","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","SUMN_BANK_BALANCE_AMT_DD","decimal","28","2","0","","18","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","AVGN_BANK_BALANCE_AMT_DD","decimal","34","8","0","","19","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MINN_BANK_BALANCE_AMT_BAHT_DD","decimal","18","2","0","","20","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MAXN_BANK_BALANCE_AMT_BAHT_DD","decimal","18","2","0","","21","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","SUMN_BANK_BALANCE_AMT_BAHT_DD","decimal","28","2","0","","22","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","AVGN_BANK_BALANCE_AMT_BAHT_DD","decimal","34","8","0","","23","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MIND_BANK_BALANCE_AMT_DD","int","0","0","0","","24","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MAXD_BANK_BALANCE_AMT_DD","int","0","0","0","","25","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","SUMD_BANK_BALANCE_AMT_DD","int","0","0","0","","26","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","AVGD_BANK_BALANCE_AMT_DD","int","0","0","0","","27","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MIND_BANK_BALANCE_AMT_BAHT_DD","int","0","0","0","","28","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","MAXD_BANK_BALANCE_AMT_BAHT_DD","int","0","0","0","","29","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","SUMD_BANK_BALANCE_AMT_BAHT_DD","int","0","0","0","","30","2023-03-09 03:11:40.715","montarat"
"VTXEDW","VESL_EDW_ACCT_STATS_TF","AVGD_BANK_BALANCE_AMT_BAHT_DD","int","0","0","0","","31","2023-03-09 03:11:40.715","montarat"
