"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","BUSINESS_DT","date","0","0","0","","1","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","SET_OF_BOOKS_CD","int","0","0","0","","2","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","SET_OF_BOOKS_START_DT","date","0","0","0","","3","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_BAL_ID","int","0","0","0","","4","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_BAL_PERIOD_START_DT","date","0","0","0","","5","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_Bal_Type_Cd","smallint","0","0","0","","6","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","CURRENCY_CD","smallint","0","0","0","","7","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COMPANY_VAL","char","10","0","0","","8","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","RC_VAL","char","10","0","0","","9","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","OC_VAL","char","10","0","0","","10","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","CHANNEL_VAL","char","10","0","0","","11","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","PRODUCT_VAL","char","10","0","0","","12","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","ACCOUNT_VAL","char","10","0","0","","13","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","PROJECT_VAL","char","10","0","0","","14","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","TAX_VAL","char","10","0","0","","15","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","RESERVE_CODE_1_VAL","char","10","0","0","","16","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","RESERVE_CODE_2_VAL","char","10","0","0","","17","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","NATURE_ACCOUNT","string","0","0","0","","18","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","NATURE_CURRENT","string","0","0","0","","19","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_BAL_GLOBAL_CRNCY_START_AMT","decimal","18","2","0","","20","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_BAL_GLOBAL_CRNCY_END_AMT","decimal","18","2","0","","21","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","NET_DEBIT_BAL_GLOBAL_CCY_AMT","decimal","19","2","0","","22","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","NET_CREDIT_BAL_GLOBAL_CCY_AMT","decimal","19","2","0","","23","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_BAL_PROCESSING_DT","date","0","0","0","","24","2023-03-09 01:37:58.859","montarat"
"VTXEDW","VESL_EDW_GLOBAL_GLBAL","COA_BAL_CODE","int","0","0","0","","25","2023-03-09 01:37:58.859","montarat"
