"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","AS_OF_DT","date","0","0","0","","1","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_ID","bigint","0","0","0","","2","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_START_DT","date","0","0","0","","3","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_CTL_ID","char","10","0","0","","4","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_START_TM","timestamp","0","0","0","","5","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_ACTIVITIES_TYPE_CD","smallint","0","0","0","","6","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","TRANSACTION_ID","varchar","100","0","0","","7","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_STATUS_CD","smallint","0","0","0","","8","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","EVENT_FRONT_OFFICE_STATUS_CD","smallint","0","0","0","","9","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_EVENT_TYPE_CD","smallint","0","0","0","","10","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_EVENT_UNIT_CNT","decimal","18","6","0","","11","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_CURRENCY_CD","smallint","0","0","0","","12","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_EVENT_AMT","decimal","18","2","0","","13","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_PRODUCT_ID","int","0","0","0","","14","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_PRODUCT_EVENT_TX","varchar","100","0","0","","15","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","INVESTMENT_ALLOTMENT_DT","date","0","0","0","","16","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","PORTFOLIO_ID","int","0","0","0","","17","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","HOST_BRANCH_NUM","char","4","0","0","","18","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","FUND_TRANSFER_METHOD_TYPE_CD","smallint","0","0","0","","19","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","FUND_TRANSFER_EFFECTIVE_DT","date","0","0","0","","20","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","FROM_ACCOUNT_NUM","varchar","100","0","0","","21","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","TO_ACCOUNT_NUM","varchar","100","0","0","","22","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","ALLOCATION_FEE_AMT","decimal","28","2","0","","23","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","FEE_AMT","decimal","28","2","0","","24","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","TAX_AMT","decimal","28","2","0","","25","2023-03-09 04:53:53.527","montarat"
"VTXEDW","VESL_EDW_INVESTMENT_EVENT","FEE_VAT_AMT","decimal","28","2","0","","26","2023-03-09 04:53:53.527","montarat"
