"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_BIATMTERM_BIATMTERM_01","TERMINAL_ID","VBI_BIATMTERM_BIATMTERM_01.TERMINAL_ID","0","1","1","1","1","0","0","0","0","1","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","LOCATIONNAME_TH","VBI_BIATMTERM_BIATMTERM_01.LOCATIONNAME_TH","0","1","1","0","0","0","0","0","0","2","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","AGE_OF_LOCATION","VBI_BIATMTERM_BIATMTERM_01.AGE_OF_LOCATION","0","1","1","0","0","0","0","0","0","3","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_REGION","VBI_BIATMTERM_BIATMTERM_01.ATM_REGION","0","1","1","0","0","0","0","0","0","4","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_LOCATION","VBI_BIATMTERM_BIATMTERM_01.ATM_LOCATION","0","1","1","0","0","0","0","0","0","5","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","BR_OFF_PREMISE","VBI_BIATMTERM_BIATMTERM_01.BR_OFF_PREMISE","0","1","1","0","0","0","0","0","0","6","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_ADDR_SOI_TH","VBI_BIATMTERM_BIATMTERM_01.ATM_ADDR_SOI_TH","0","1","1","0","0","0","0","0","0","7","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_ADDR_ROAD_TH","VBI_BIATMTERM_BIATMTERM_01.ATM_ADDR_ROAD_TH","0","1","1","0","0","0","0","0","0","8","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_ADDR_TAMBON_TH","VBI_BIATMTERM_BIATMTERM_01.ATM_ADDR_TAMBON_TH","0","1","1","0","0","0","0","0","0","9","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_ADDR_AMPHUR_TH","VBI_BIATMTERM_BIATMTERM_01.ATM_ADDR_AMPHUR_TH","0","1","1","0","0","0","0","0","0","10","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_ADDR_PROVINCE_TH","VBI_BIATMTERM_BIATMTERM_01.ATM_ADDR_PROVINCE_TH","0","1","1","0","0","0","0","0","0","11","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_LOCATION_TYPE","VBI_BIATMTERM_BIATMTERM_01.ATM_LOCATION_TYPE","0","1","1","0","0","0","0","0","0","12","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","ATM_LOCATION_BRAND","VBI_BIATMTERM_BIATMTERM_01.ATM_LOCATION_BRAND","0","1","1","0","0","0","0","0","0","13","2023-03-09 15:38:20.456","Phase3"
"INT_T_BIATMTERM_BIATMTERM_01","CTL_ID","'999'
","1","1","1","0","0","0","0","1","0","17","2023-03-09 15:38:20.456","Phase3"
