"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_LLFP_BEF_RL_ACCT","AS_OF_DT","TV_LLFP_BEFORE_RL_ACCT_M.AS_OF_DT","0","1","1","0","1","0","0","0","0","1","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","RL_ACCOUNT_NUM","TV_LLFP_BEFORE_RL_ACCT_M.RL_ACCOUNT_NUM","0","1","1","1","1","0","0","0","0","2","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","RL_ACCOUNT_MOD_NUM","TV_LLFP_BEFORE_RL_ACCT_M.RL_ACCOUNT_MOD_NUM","0","1","1","1","1","0","0","0","0","3","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","BEF_ACCOUNT_NUM","TV_LLFP_BEFORE_RL_ACCT_M.BEF_ACCOUNT_NUM","0","1","1","1","1","0","0","0","0","4","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","BEF_ACCOUNT_MOD_NUM","TV_LLFP_BEFORE_RL_ACCT_M.BEF_ACCOUNT_MOD_NUM","0","1","1","1","1","0","0","0","0","5","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","DAYS_PAST_DUE_CNT","TV_LLFP_BEFORE_RL_ACCT_M.DAYS_PAST_DUE_CNT","0","1","1","0","0","0","0","0","0","6","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","RESCHEDULE_DATE","TV_LLFP_BEFORE_RL_ACCT_M.RESCHEDULE_DATE","0","1","1","0","0","0","0","0","0","7","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","START_SKIP_DATE","TV_LLFP_BEFORE_RL_ACCT_M.START_SKIP_DATE","0","1","1","0","0","0","0","0","0","8","2023-03-09 03:56:57.000","S90542"
"INT_T_LLFP_BEF_RL_ACCT","ALS_CTL3","LEFT(ALS_CTL3,3)","1","1","1","0","0","0","0","0","0","9","2023-03-09 03:56:57.000","Common_Team"
"INT_T_LLFP_BEF_RL_ACCT","TDR_PDR_FLAG","LEFT(TDR_PDR_FLAG,4)","1","1","1","0","0","0","0","0","0","10","2023-03-09 03:56:57.000","Common_Team"
"INT_T_LLFP_BEF_RL_ACCT","ACTION_CODE","LEFT(ACTION_CODE,20)","1","1","1","0","0","0","0","0","0","11","2023-03-09 03:56:57.000","Common_Team"
