"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_LEAD_DIM_ISIC_D","ISIC_ID_NUM","LEFT(ISIC_ID_NUM,10)","1","1","1","1","1","0","0","0","0","1","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","ISIC_VAL","LEFT(ISIC_VAL,256)","1","1","1","1","1","0","0","0","0","2","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","ID_NUM","DIM_LEAD_ISIC.ID_NUM","0","1","1","1","1","0","0","0","0","3","2023-03-09 03:12:14.937","Phase3"
"INT_T_LEAD_DIM_ISIC_D","ISIC_DESC_TH","LEFT(ISIC_DESC_TH,512)","1","1","1","0","0","0","0","0","0","4","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","ISIC_DESC_EN","LEFT(ISIC_DESC_EN,512)","1","1","1","0","0","0","0","0","0","5","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","ISIC_ORDER_NUM","LEFT(ISIC_ORDER_NUM,64)","1","1","1","0","0","0","0","0","0","6","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","ISIC_GROUP_VAL","LEFT(ISIC_GROUP_VAL,64)","1","1","1","0","0","0","0","0","0","7","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","INCOME_FACTOR_VAL","LEFT(INCOME_FACTOR_VAL,256)","1","1","1","0","0","0","0","0","0","8","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","ISIC_LEVEL","LEFT(ISIC_LEVEL,1)","1","1","1","0","0","0","0","0","0","9","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","DMS_IND","LEFT(DMS_IND,5)","1","1","1","0","0","0","0","0","0","10","2023-03-09 03:12:14.937","Common_Team"
"INT_T_LEAD_DIM_ISIC_D","CTL_ID","'999'","1","1","1","0","0","0","0","1","0","14","2023-03-09 03:12:14.937","Phase3"
