"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","CUST_NO","LEFT(CUST_NO,10)","1","1","0","0","1","0","0","0","0","1","2023-03-12 02:06:37.621","Common_Team"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","ACCOUNT_CODE","LEFT(ACCOUNT_CODE,40)","1","1","0","0","1","0","0","0","0","2","2023-03-12 02:06:37.621","Common_Team"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","CUST_CODE","LEFT(CUST_CODE,20)","1","1","0","0","0","0","0","0","0","3","2023-03-12 02:06:37.621","Common_Team"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","THB_NAME","LEFT(THB_NAME,200)","1","1","0","0","0","0","0","0","0","4","2023-03-12 02:06:37.621","Common_Team"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","START_DT","","0","1","0","0","0","0","0","0","0","5","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","END_DT","","0","1","0","0","0","0","0","0","0","6","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","7","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","CTL_ID","","0","1","0","0","0","0","0","0","0","8","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","9","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","10","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","11","2023-03-12 02:06:37.621","nuttsak.wong"
"INT_L_AIS_EDW_CUSTODY_ACCOUNT","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","12","2023-03-12 02:06:37.621","nuttsak.wong"
