"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_CORP","LEFT(RAIM_AI_CORP,3)","1","1","0","0","0","0","0","0","0","1","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_CUST_ID","LEFT(RAIM_AI_CUST_ID,30)","1","1","0","0","0","0","0","0","0","2","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_APPL","LEFT(RAIM_AI_APPL,3)","1","1","0","0","0","0","0","0","0","3","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_CCG","LEFT(RAIM_AI_CCG,3)","1","1","0","0","0","0","0","0","0","4","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_ACCT_ID","LEFT(RAIM_AI_ACCT_ID,17)","1","1","0","0","0","0","0","0","0","5","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_CURR_CLASS","LEFT(RAIM_AI_CURR_CLASS,5)","1","1","0","0","0","0","0","0","0","6","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_PREV_CLASS","LEFT(RAIM_AI_PREV_CLASS,5)","1","1","0","0","0","0","0","0","0","7","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_COLL_ENTRY_REAS","LEFT(RAIM_AI_COLL_ENTRY_REAS,2)","1","1","0","0","0","0","0","0","0","8","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_APPL_CURR_DLNQ_COND","LEFT(RAIM_AI_APPL_CURR_DLNQ_COND,2)","1","1","0","0","0","0","0","0","0","9","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_APPL_BLKRC_CD","LEFT(RAIM_AI_APPL_BLKRC_CD,2)","1","1","0","0","0","0","0","0","0","10","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_CURR_DT_ADD","LEFT(RAIM_AI_CURR_DT_ADD,9)","1","1","0","0","0","0","0","0","0","11","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_MAN_LTR_REQ_ID","LEFT(RAIM_AI_MAN_LTR_REQ_ID,5)","1","1","0","0","0","0","0","0","0","12","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_DTE_LAST_REVW_DT","LEFT(RAIM_AI_DTE_LAST_REVW_DT,9)","1","1","0","0","0","0","0","0","0","13","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_DTE_LAST_CONT_DT","LEFT(RAIM_AI_DTE_LAST_CONT_DT,9)","1","1","0","0","0","0","0","0","0","14","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_DTE_LAST_ATMT_DT","LEFT(RAIM_AI_DTE_LAST_ATMT_DT,9)","1","1","0","0","0","0","0","0","0","15","2023-03-12 02:00:18.102","Common_Team"
"INT_L_B2K_ACRAIM_1_0","RAIM_AI_DT_LST_APL_ACTY_DT","LEFT(RAIM_AI_DT_LST_APL_ACTY_DT,9)","1","1","0","0","0","0","0","0","0","16","2023-03-12 02:00:18.102","Common_Team"
