"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_B2K_BC13T_1_0","BIN_TABLE_ID","LEFT(BIN_TABLE_ID,4)","1","1","0","0","0","0","0","0","0","1","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_HIGH_RANGE","LEFT(BIN_HIGH_RANGE,17)","1","1","0","0","0","0","0","0","0","2","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_RECORD_NUMBER","LEFT(COALESCE(TRIM(right('0000000000000000'||replace(BIN_RECORD_NUMBER, ' ', ''),3)),''),3)","1","1","0","0","0","0","0","0","0","3","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_ICA_CENTER","LEFT(BIN_ICA_CENTER,11)","1","1","0","0","0","0","0","0","0","4","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_LENGTH","LEFT(BIN_LENGTH,1)","1","1","0","0","0","0","0","0","0","5","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_CK_DIGIT_ROUTINE","LEFT(BIN_CK_DIGIT_ROUTINE,2)","1","1","0","0","0","0","0","0","0","6","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_CK_DIGIT_WEIGHT","LEFT(BIN_CK_DIGIT_WEIGHT,2)","1","1","0","0","0","0","0","0","0","7","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_GCMS_PRODUCT","LEFT(BIN_GCMS_PRODUCT,3)","1","1","0","0","0","0","0","0","0","8","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_EURO_PAY","LEFT(BIN_EURO_PAY,1)","1","1","0","0","0","0","0","0","0","9","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_ICA_REGION","LEFT(BIN_ICA_REGION,1)","1","1","0","0","0","0","0","0","0","10","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_ICA_SUB_REGION","LEFT(BIN_ICA_SUB_REGION,1)","1","1","0","0","0","0","0","0","0","11","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_ACQ_IND","LEFT(BIN_ACQ_IND,1)","1","1","0","0","0","0","0","0","0","12","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_LOW_RANGE","LEFT(BIN_LOW_RANGE,16)","1","1","0","0","0","0","0","0","0","13","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_CLEARING_ID","LEFT(BIN_CLEARING_ID,8)","1","1","0","0","0","0","0","0","0","14","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_MEMBER_TYPE","LEFT(BIN_MEMBER_TYPE,2)","1","1","0","0","0","0","0","0","0","15","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_PRODUCT_TYPE","LEFT(BIN_PRODUCT_TYPE,1)","1","1","0","0","0","0","0","0","0","16","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_PROCESS_CLASS","LEFT(BIN_PROCESS_CLASS,4)","1","1","0","0","0","0","0","0","0","17","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_ACT_BRAND","LEFT(BIN_ACT_BRAND,4)","1","1","0","0","0","0","0","0","0","18","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_ACQ_ICA_CENTER","LEFT(BIN_ACQ_ICA_CENTER,11)","1","1","0","0","0","0","0","0","0","19","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_COUNTRY_CODE","LEFT(BIN_COUNTRY_CODE,3)","1","1","0","0","0","0","0","0","0","20","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_CONT","LEFT(BIN_CONT,1)","1","1","0","0","0","0","0","0","0","21","2023-03-12 01:08:18.661","Common_Team"
"INT_L_B2K_BC13T_1_0","BIN_UPDATE_DATE","LEFT(BIN_UPDATE_DATE,9)","1","1","0","0","0","0","0","0","0","22","2023-03-12 01:08:18.661","Common_Team"
