"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_FRC_EDW_FRCNSWMS","CENTREF","LEFT(CENTREF,20)","1","1","0","0","1","0","0","0","0","1","2023-03-12 01:43:29.945","Common_Team"
"INT_L_FRC_EDW_FRCNSWMS","REPTNO","FRC_FRCNSWMS_1_0.REPTNO","0","1","0","0","1","0","0","0","0","2","2023-03-12 01:43:29.945","mfec_process"
"INT_L_FRC_EDW_FRCNSWMS","TAGNAME","LEFT(TAGNAME,3)","1","1","0","0","1","0","0","0","0","3","2023-03-12 01:43:29.945","Common_Team"
"INT_L_FRC_EDW_FRCNSWMS","LINENO","FRC_FRCNSWMS_1_0.LINENO","0","1","0","0","1","0","0","0","0","4","2023-03-12 01:43:29.945","mfec_process"
"INT_L_FRC_EDW_FRCNSWMS","TAGVALUE","LEFT(TAGVALUE,35)","1","1","0","0","0","0","0","0","0","5","2023-03-12 01:43:29.945","Common_Team"
"INT_L_FRC_EDW_FRCNSWMS","START_DT","","0","1","0","0","0","0","0","0","0","6","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","END_DT","","0","1","0","0","0","0","0","0","0","7","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","8","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","CTL_ID","","0","1","0","0","0","0","0","0","0","9","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","10","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","11","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","12","2023-03-12 01:43:29.945","hathaipat"
"INT_L_FRC_EDW_FRCNSWMS","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","13","2023-03-12 01:43:29.945","hathaipat"
