"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_FRC_EDW_FRCOM103","CENTREF","LEFT(CENTREF,20)","1","1","0","0","0","0","0","0","0","1","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","REMTYPE","LEFT(REMTYPE,4)","1","1","0","0","0","0","0","0","0","2","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","DEST","LEFT(DEST,12)","1","1","0","0","0","0","0","0","0","3","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","DESTNAME","LEFT(DESTNAME,50)","1","1","0","0","0","0","0","0","0","4","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T20X","LEFT(T20X,3)","1","1","0","0","0","0","0","0","0","5","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T20","LEFT(T20,16)","1","1","0","0","0","0","0","0","0","6","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T23X","LEFT(T23X,3)","1","1","0","0","0","0","0","0","0","7","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T23B","LEFT(T23B,4)","1","1","0","0","0","0","0","0","0","8","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T23E1","LEFT(T23E1,4)","1","1","0","0","0","0","0","0","0","9","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T23E2","LEFT(T23E2,31)","1","1","0","0","0","0","0","0","0","10","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T26X","LEFT(T26X,3)","1","1","0","0","0","0","0","0","0","11","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T26T","LEFT(T26T,3)","1","1","0","0","0","0","0","0","0","12","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T32X","LEFT(T32X,3)","1","1","0","0","0","0","0","0","0","13","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T32A1","LEFT(T32A1,6)","1","1","0","0","0","0","0","0","0","14","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T32A2","LEFT(T32A2,3)","1","1","0","0","0","0","0","0","0","15","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T32A3","FRC_FRCOM103_1_0.T32A3","0","1","0","0","0","0","0","0","0","16","2023-03-12 04:03:05.413","hathaipat"
"INT_L_FRC_EDW_FRCOM103","T33X","LEFT(T33X,3)","1","1","0","0","0","0","0","0","0","17","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T33B1","LEFT(T33B1,3)","1","1","0","0","0","0","0","0","0","18","2023-03-12 04:03:05.413","Common_Team"
"INT_L_FRC_EDW_FRCOM103","T33B2","FRC_FRCOM103_1_0.T33B2","0","1","0","0","0","0","0","0","0","19","2023-03-12 04:03:05.413","hathaipat"
"INT_L_FRC_EDW_FRCOM103","T36X","LEFT(T36X,3)","1","1","0","0","0","0","0","0","0","20","2023-03-12 04:03:05.413","Common_Team"
