"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","OPTIONPLAN_ID","LEAD_AUTO_LOAN_OPT_PLN_1_0.OPTIONPLAN_ID","0","1","0","0","1","0","0","0","0","1","2023-03-12 02:18:43.089","mfec_process"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","LOANINFO_ID","LEAD_AUTO_LOAN_OPT_PLN_1_0.LOANINFO_ID","0","1","0","0","1","0","0","0","0","2","2023-03-12 02:18:43.089","mfec_process"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","PZINSKEY","LEFT(PZINSKEY,128)","1","1","0","0","1","0","0","0","0","3","2023-03-12 02:18:43.089","Common_Team"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","ACCOUNTNO","LEFT(ACCOUNTNO,16)","1","1","0","0","0","0","0","0","0","4","2023-03-12 02:18:43.089","Common_Team"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","ACCOUNTTYPE","LEFT(ACCOUNTTYPE,16)","1","1","0","0","0","0","0","0","0","5","2023-03-12 02:18:43.089","Common_Team"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","START_DT","","0","1","0","0","0","0","0","0","0","6","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","END_DT","","0","1","0","0","0","0","0","0","0","7","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","8","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","CTL_ID","","0","1","0","0","0","0","0","0","0","9","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","10","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","11","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","12","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","13","2023-03-12 02:18:43.089","nuttsak.wong"
"INT_L_LEAD_EDW_AUTO_LOAN_OPT_PLN","BK_PARTY_ASSET_084_001","(COALESCE(TRIM(PZINSKEY),'')||'_'||COALESCE(TRIM(LOANINFO_ID),'')||'_'||COALESCE(TRIM(OPTIONPLAN_ID),'')||'_084')","1","1","0","0","0","0","0","1","1","14","2023-03-12 02:18:43.089","Common_Team"
