"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_OLS_EDW_OLSOSBAL","CLUB","LEFT(CLUB,3)","1","1","0","0","1","0","0","0","0","1","2023-03-12 00:39:48.624","Common_Team"
"INT_L_OLS_EDW_OLSOSBAL","CARD_TYPES","LEFT(CARD_TYPES,8)","1","1","0","0","1","0","0","0","0","2","2023-03-12 00:39:48.624","Common_Team"
"INT_L_OLS_EDW_OLSOSBAL","CARD_NUMBER","LEFT(CARD_NUMBER,20)","1","1","0","0","1","0","0","0","0","3","2023-03-12 00:39:48.624","Common_Team"
"INT_L_OLS_EDW_OLSOSBAL","POOL_ID","LEFT(POOL_ID,3)","1","1","0","0","1","0","0","0","0","4","2023-03-12 00:39:48.624","Common_Team"
"INT_L_OLS_EDW_OLSOSBAL","POOL_BALANCES_SIGN","LEFT(POOL_BALANCES_SIGN,1)","1","1","0","0","0","0","0","0","0","5","2023-03-12 00:39:48.624","Common_Team"
"INT_L_OLS_EDW_OLSOSBAL","POOL_BALANCES","concat(format_number(POOL_BALANCES*100,'0000000000000'))","1","1","0","0","0","0","0","0","0","6","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","DATE_TIME_OF_BALANCE","date_format(to_timestamp(DATE_TIME_OF_BALANCE, 'yyyy-MM-ddTHH:mm:ss'),'yyyyMMddHHmmss')","1","1","0","0","0","0","0","0","0","7","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","FILLER","LEFT(FILLER,12)","1","1","0","0","0","0","0","0","0","8","2023-03-12 00:39:48.624","Common_Team"
"INT_L_OLS_EDW_OLSOSBAL","START_DT","","0","1","0","0","0","0","0","0","0","9","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","END_DT","","0","1","0","0","0","0","0","0","0","10","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","11","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","CTL_ID","","0","1","0","0","0","0","0","0","0","12","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","13","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","14","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","15","2023-03-12 00:39:48.624","hathaipat"
"INT_L_OLS_EDW_OLSOSBAL","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","16","2023-03-12 00:39:48.624","hathaipat"
