"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_RBF_EDW_SDL_SFC","RM_ID","LEFT(RM_ID,30)","1","1","0","0","0","0","0","0","0","1","2023-03-12 02:04:00.982","Common_Team"
"INT_L_RBF_EDW_SDL_SFC","SDL_NUM","LEFT(locker_id,10)","1","1","0","0","0","0","0","0","0","2","2023-03-12 02:04:00.982","Common_Team"
"INT_L_RBF_EDW_SDL_SFC","SDL_BRANCH","LEFT(branch_id,5)","1","1","0","0","0","0","0","0","0","3","2023-03-12 02:04:00.982","Common_Team"
"INT_L_RBF_EDW_SDL_SFC","USED_FLAG","LEFT(used,1)","1","1","0","0","0","0","0","0","0","4","2023-03-12 02:04:00.982","Common_Team"
"INT_L_RBF_EDW_SDL_SFC","SDL_SIZE","LEFT(locker_size,100)","1","1","0","0","0","0","0","0","0","5","2023-03-12 02:04:00.982","Common_Team"
"INT_L_RBF_EDW_SDL_SFC","SDL_PRICE","rent_rate","1","1","0","0","0","0","0","0","0","6","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","SDL_DUE_DT","COALESCE(cast(substr(due_date,1,10) as date),to_date('1000-01-03','yyyy-MM-DD'))","1","1","0","0","0","0","0","0","0","7","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","TRANSACTION_DT","COALESCE(cast(substr(used_date,1,10) as date),to_date('1000-01-03','yyyy-MM-DD'))","1","1","0","0","0","0","0","0","0","8","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","DATA_DT","COALESCE(cast(substr(run_date,1,10) as date),to_date(""1000-01-03"",""yyyy-MM-DD""))","1","1","0","0","0","0","0","0","0","9","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","NEW_CUST_FLAG","LEFT(new_customer,1)","1","1","0","0","0","0","0","0","0","10","2023-03-12 02:04:00.982","Common_Team"
"INT_L_RBF_EDW_SDL_SFC","START_DT","","0","1","0","0","0","0","0","0","0","11","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","END_DT","","0","1","0","0","0","0","0","0","0","12","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","13","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","CTL_ID","","0","1","0","0","0","0","0","0","0","14","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","15","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","16","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","17","2023-03-12 02:04:00.982","paramee"
"INT_L_RBF_EDW_SDL_SFC","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","18","2023-03-12 02:04:00.982","paramee"
