"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_SBA_EDW_TBK","BANKCODE","LEFT(BANKCODE,3)","1","1","0","0","1","0","0","0","0","1","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKBRANCHCODE","LEFT(BANKBRANCHCODE,5)","1","1","0","0","1","0","0","0","0","2","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKENAME","LEFT(BANKENAME,50)","1","1","0","0","0","0","0","0","0","3","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKTNAME","LEFT(BANKTNAME,50)","1","1","0","0","0","0","0","0","0","4","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKBRANCHENAME","LEFT(BANKBRANCHENAME,50)","1","1","0","0","0","0","0","0","0","5","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKBRANCHTNAME","LEFT(BANKBRANCHTNAME,50)","1","1","0","0","0","0","0","0","0","6","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKCHEQCODE","LEFT(BANKCHEQCODE,2)","1","1","0","0","0","0","0","0","0","7","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BANKSHORTNAME","LEFT(BANKSHORTNAME,40)","1","1","0","0","0","0","0","0","0","8","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","BRANCHSHORTNAME","LEFT(BRANCHSHORTNAME,40)","1","1","0","0","0","0","0","0","0","9","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","COMPACCNO","LEFT(COMPACCNO,15)","1","1","0","0","0","0","0","0","0","10","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","REGIONFLAG","LEFT(REGIONFLAG,1)","1","1","0","0","0","0","0","0","0","11","2023-03-12 00:00:02.554","Common_Team"
"INT_L_SBA_EDW_TBK","START_DT","","0","1","0","0","0","0","0","0","0","12","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","END_DT","","0","1","0","0","0","0","0","0","0","13","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","14","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","CTL_ID","","0","1","0","0","0","0","0","0","0","15","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","16","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","17","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","18","2023-03-12 00:00:02.554","paramee"
"INT_L_SBA_EDW_TBK","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","19","2023-03-12 00:00:02.554","paramee"
